house,name,duration,power,model,efficiency,progress,proposed_status,actual_status,proposed_demand,actual_demand,mode,priority,with_dr,phase,voltage,angle,frequency,mcast_ip_local,mcast_port_local,mcast_ip_global,mcast_port_global,s0,e0,s1,e1,s2,e2,s3,e3,s4,e4,s5,e5,s6,e6,s7,e7,s8,e8,s9,e9,load_class,load_type,profile,skew,schedule,schedule_skew,irradiance,irradiance_roof,irradiance_wall1,irradiance_wall2,irradiance_wall3,irradiance_wall4,len_profile,counter,min_cycletime,min_coolingtime,min_heatingtime,min_chargingtime,min_dischargingtime,charging_counter,discharging_counter
H011,CD011,0.135084827441182,0.8165986935069207,B7E43D5,0.9509277600662991,0,0,0,0,0,0,58.23707777384851,True,BN,230.0,120.0,50.0,234.37.92.213,11278,224.0.2.0,10000,14.70031496182587,22.83783300773486,15.337103482519735,22.46198223993703,13.928483778340869,23.070755560457766,16.5168653105026,22.42070452261752,17.49843542306207,24.0,17.23542425946681,23.565774825097474,15.458698426987297,21.972322126616216,15.754404716776815,21.535004866751486,17.006421445042765,24.0,16.629050703904728,21.915418784243812,ntcl,clothesdryer,B7E43D5,0,P2,882,0,0,0,0,0,0,3177,39.75983194424041,3177,31.81857864646188,49.83451093256808,5,5,5,5
H012,CD012,0.47818430987427696,0.3871548331705684,B7E43D5,0.9500264602970228,0,0,0,0,0,0,51.12679614194244,True,CN,230.0,-120.0,50.0,235.14.86.196,11902,224.0.2.0,10000,16.837803490560457,22.421688641108343,15.019292739348032,20.173875249227734,16.429790557908305,22.787764593259407,15.812229809090526,22.732492761545824,17.026695456016657,22.850869589316797,17.202028558744423,22.30816048892942,15.424663391355004,20.794512225226683,15.403862061070615,20.939063518490972,14.876899505619805,23.954568460184696,16.677879448453112,19.80712068894015,ntcl,clothesdryer,B7E43D5,0,P4,-588,0,0,0,0,0,0,3177,30.51143155423105,3177,47.431006674533194,49.13334873531939,5,5,5,5
H013,CD013,0.3121072612451966,0.7367970858235733,B7E43D3,0.9504336037738669,0,0,0,0,0,0,63.874376958141475,True,AN,230.0,0.0,50.0,228.170.61.183,10870,224.0.2.0,10000,14.391831328462082,23.733358855982438,14.921732855595831,23.76628505903018,16.436341215220104,22.4779001310824,16.65926071317666,23.42222726172962,15.881547108104666,23.25242101623415,14.98890379718117,24.0,17.853865852097723,24.0,15.916733437818678,22.937163000393078,15.305584588252582,22.178977573517713,15.967974249777045,23.645367155794823,ntcl,clothesdryer,B7E43D3,0,P4,685,0,0,0,0,0,0,903,21.543099493705466,903,34.46012472148798,45.95314051850341,5,5,5,5
H014,CD014,0.9958528602323538,0.6380793972323573,D361224,0.9492009906878068,0,0,0,0,0,0,35.80991024047244,True,BN,230.0,120.0,50.0,238.71.36.109,12498,224.0.2.0,10000,15.597898220399339,23.809745714228782,17.57040289682768,22.66751552312599,16.698276852172278,23.480990676011007,15.948262193922316,23.89642827994362,15.519989569512678,22.253939530289873,16.30544086557226,24.0,17.53010263556416,24.0,15.948590412897394,24.0,15.550059539785211,22.15484646680671,15.94203584048243,21.118985226208572,ntcl,clothesdryer,D361224,0,P4,-830,0,0,0,0,0,0,3526,32.38816378617818,3526,59.871099151700314,56.38515202659404,5,5,5,5
H015,CD015,0.14800912304206992,0.46153120921430435,B7E43D2,0.9536014494801689,0,0,0,0,0,0,55.849741983655925,True,CN,230.0,-120.0,50.0,226.196.221.152,10369,224.0.2.0,10000,15.285874376232517,24.0,15.289111240290095,22.555148482570804,14.813762272631173,22.21548264459883,14.881057000570872,23.871239110220554,15.172156392485718,22.484967287266677,15.84137557863931,23.152368759452806,17.101669273331005,22.504914928163615,14.345439405400313,24.0,13.970707423234732,21.380138961331816,16.566699068712268,22.52889744905188,ntcl,clothesdryer,B7E43D2,0,P2,798,0,0,0,0,0,0,3766,22.088610962019686,3766,59.99890354868752,52.79796120854171,5,5,5,5
H016,CD016,1.96265715739513,0.3586122485861792,B7E43D,0.9503280912690785,0,0,0,0,0,0,21.54139464116276,True,AN,230.0,0.0,50.0,225.208.215.114,10836,224.0.2.0,10000,15.581695588493725,23.140575930251686,15.881555247838532,22.12092789557536,16.122158030404407,22.55065470878013,16.18150378239912,22.38582022314685,15.329409017318147,23.029814077458546,17.137827731320876,22.869190310388063,14.906144070552774,24.0,15.984248951132322,22.41278407746469,15.968770187109078,23.578155777526337,16.00677797660791,24.0,ntcl,clothesdryer,B7E43D,0,P3,-384,0,0,0,0,0,0,4253,44.838974668466335,4253,41.65159114899107,45.78671976926303,5,5,5,5
H017,CD017,1.198700778764527,0.553266382923177,D361222,0.9526954965839509,0,0,0,0,0,0,33.25110264861881,True,BN,230.0,120.0,50.0,231.149.179.38,10721,224.0.2.0,10000,16.318829549595332,21.6604468724624,15.764517290273039,23.16161254454341,16.252564482301167,23.614474888626813,16.319588558986037,23.236023270898166,17.256402783781024,24.0,16.327375500905244,21.8497836598335,15.692056608384918,22.63450372426437,17.022985425346057,22.930227607610263,17.280731829262905,22.44901313510676,15.701676278369343,22.832791739320317,ntcl,clothesdryer,D361222,0,P1,-853,0,0,0,0,0,0,3814,9.10537996285387,3814,32.020350022152954,56.88577000396247,5,5,5,5
H018,CD018,0.32704919313790537,0.26939112628094336,B7E43D4,0.9483517884980441,0,0,0,0,0,0,23.613586180508253,True,CN,230.0,-120.0,50.0,230.49.199.35,10242,224.0.2.0,10000,17.62030178789338,21.12334468278696,16.685026868630903,23.150407934882242,15.025351884273203,23.177291565854887,17.674360738869424,23.407196018238025,17.08761007726415,23.40909128217816,16.576765768305194,22.863614705499387,14.591016842087482,22.906097977639114,17.293320167235116,24.0,16.27057301071028,24.0,15.196974133787487,22.950190956818275,ntcl,clothesdryer,B7E43D4,0,P4,613,0,0,0,0,0,0,2497,8.095622463007926,2497,43.119756396260556,30.642902863257298,5,5,5,5
H019,CD019,0.721785225799038,0.8227358227941164,B7E43D3,0.9478433843850711,0,0,0,0,0,0,42.18725271474631,True,AN,230.0,0.0,50.0,227.84.96.113,11824,224.0.2.0,10000,15.61700130813926,23.958849407209907,15.95238336873284,21.846298870707184,16.094781826084315,22.39554113097093,15.255780185600795,23.97836577142758,16.067385322488356,24.0,16.483669296181287,24.0,15.656535279735197,24.0,18.08831309746741,23.842307128850997,14.88105180270212,21.642532374084535,15.266104800379527,23.81723791397877,ntcl,clothesdryer,B7E43D3,0,P4,37,0,0,0,0,0,0,903,51.364509114174886,903,58.04457177797997,30.69808614799335,5,5,5,5
H020,CD020,1.2826311850670393,1.1493266864724154,D36122,0.9509223893954695,0,0,0,0,0,0,47.383129649381054,True,BN,230.0,120.0,50.0,224.81.22.130,10259,224.0.2.0,10000,15.96095354971804,23.65348080759487,16.58865587434173,22.850083456256836,15.898114016515029,22.246592457027624,17.01643173102883,24.0,16.86432026614459,22.30995822514059,15.277069969609958,24.0,17.866978255251,22.96339414922827,14.23905400537658,24.0,16.740062836184396,22.792042621338144,16.46909630377226,24.0,ntcl,clothesdryer,D36122,0,P3,95,0,0,0,0,0,0,5024,21.682346131237317,5024,31.0329787854437,33.39608410425342,5,5,5,5
H021,CD021,1.9119039217688303,0.16282528519934794,B7E43D3,0.9459633322046415,0,0,0,0,0,0,71.33427705976504,True,CN,230.0,-120.0,50.0,230.189.203.170,12583,224.0.2.0,10000,16.463555598403516,23.607427849502095,14.124395565915892,24.0,14.792614376593303,22.733788649776884,17.159729029320157,22.08677577604988,16.819335180613525,22.284494740099195,14.846768707802191,22.71669443797546,13.862436558902655,22.896465745646587,14.634840820684559,22.87489480184588,14.888880690232831,22.643401525930365,15.822550826236423,23.44961168371854,ntcl,clothesdryer,B7E43D3,0,P3,-92,0,0,0,0,0,0,903,4.315465107961895,903,42.508451645047,43.51753178479713,5,5,5,5
H022,CD022,0.7984067047127397,0.46312331621084835,B7E43D2,0.9475704419192308,0,0,0,0,0,0,45.522458927543084,True,AN,230.0,0.0,50.0,234.111.58.50,11988,224.0.2.0,10000,16.149100349234963,21.65496051333375,15.898091555616224,23.45979282636909,17.124966279329108,22.76845499033141,16.465599983142706,24.0,18.056027604491586,24.0,16.285780896286145,22.686104255865338,16.783352302944603,21.871547504080077,16.765331349561844,23.453519771795744,14.29678559499362,24.0,15.344193017400546,23.47926910924926,ntcl,clothesdryer,B7E43D2,0,P4,-592,0,0,0,0,0,0,3766,12.835039325851527,3766,41.09193586255408,38.56410592892724,5,5,5,5
H023,CD023,1.8267393340773137,0.6808612555568305,D361223,0.9496812839384302,0,0,0,0,0,0,32.742944905342135,True,BN,230.0,120.0,50.0,234.114.66.16,11048,224.0.2.0,10000,15.853410226116633,21.985457980290253,18.067370125749832,22.498519729690322,15.210424645034466,22.983579440316763,16.120418261755297,22.25411030647711,17.166748942788164,20.767707739048465,17.275340111270346,22.753258513136277,15.597922104703544,22.771674147063386,16.953184565412222,22.1575221659409,16.580578593477572,21.833794630138506,16.982119019517608,23.15711316800131,ntcl,clothesdryer,D361223,0,P3,-417,0,0,0,0,0,0,6549,13.221290943706004,6549,34.49057898144654,51.02795681467714,5,5,5,5
H024,CD024,1.245599860748845,0.5074338824364502,D361224,0.9530238911608202,0,0,0,0,0,0,67.01913643115313,True,CN,230.0,-120.0,50.0,226.184.53.114,11441,224.0.2.0,10000,16.133452309316127,21.90471686852498,15.962183377107447,20.87949825467711,15.601144556342105,23.02954243324334,17.823189244197728,21.57025921090423,16.48622734846951,22.38355938525544,16.59770856309069,23.344383692597244,15.171846302219528,22.937147768710624,17.623427256753388,22.038924767168815,15.158636398229966,22.180895008604544,15.365038351057347,22.245570016279558,ntcl,clothesdryer,D361224,0,P3,-685,0,0,0,0,0,0,3526,18.587472499169415,3526,32.367435066966486,53.77233403402262,5,5,5,5
H025,CD025,0.4001694253577034,0.6731913870255486,D36122,0.9505305203834638,0,0,0,0,0,0,54.793400933410666,True,AN,230.0,0.0,50.0,226.139.213.149,12449,224.0.2.0,10000,15.68982676224635,22.662726989530544,15.424609086047049,22.50420430348661,16.96083747020458,22.5214060343843,15.976624873165772,24.0,16.624731511777643,23.12141745216358,15.92082400296603,19.97710251986509,16.721436361776053,24.0,15.667159476231168,22.292402130454334,17.865186790837953,23.910059659569523,16.739088246414052,21.791436935244942,ntcl,clothesdryer,D36122,0,P3,-187,0,0,0,0,0,0,5024,14.269227185119597,5024,50.84604103532807,46.518983195195474,5,5,5,5
H026,CD026,1.0435398627678805,1.1246030074090614,B7E43D2,0.947207210732509,0,0,0,0,0,0,50.438410165804996,True,BN,230.0,120.0,50.0,237.231.179.147,10410,224.0.2.0,10000,17.37872640940546,22.721742702690943,16.243644440026834,22.657570905014644,16.628597188009486,23.40525818224593,17.489635527428415,24.0,16.386526020648674,21.94492118967472,17.150346112429684,23.19540203446419,16.53432510767941,23.674302966122674,15.735948242368668,24.0,16.568510704195905,23.96166552471792,17.21126091353705,21.09230781891883,ntcl,clothesdryer,B7E43D2,0,P4,182,0,0,0,0,0,0,3766,20.77979413216714,3766,41.237006907460874,56.91350798407281,5,5,5,5
H027,CD027,0.5166179716138062,0.24791366027367018,B7E43D2,0.9483407608476729,0,0,0,0,0,0,40.977971362136344,True,CN,230.0,-120.0,50.0,237.163.114.30,10203,224.0.2.0,10000,16.34367459089565,23.282334990649044,16.597302874928523,23.349385556985073,16.786359586943853,22.190648393576243,15.990738346299487,22.03368031338833,14.72747231331767,22.20884008164528,16.032258873467104,24.0,14.57788985213017,22.628537555311926,13.548525117776153,22.828328690376658,16.20617306477547,24.0,15.734320155306595,23.404872989989407,ntcl,clothesdryer,B7E43D2,0,P3,702,0,0,0,0,0,0,3766,53.64170092952041,3766,33.47383333086044,55.84539353409225,5,5,5,5
H028,CD028,0.24128827943413034,0.28691648115068247,B7E43D2,0.9520781621606588,0,0,0,0,0,0,60.187107046179655,True,AN,230.0,0.0,50.0,226.223.214.175,11399,224.0.2.0,10000,16.6743055531282,24.0,16.724645742279474,24.0,14.733927173583337,23.1955230786591,17.581009243904326,22.892015690495946,14.934992998728376,24.0,15.954275380239187,24.0,18.477265088034887,23.52707679761511,16.699166193759456,24.0,14.777036793944946,23.28738114097513,14.783937466352775,24.0,ntcl,clothesdryer,B7E43D2,0,P4,21,0,0,0,0,0,0,3766,33.30062550897815,3766,59.68185598621115,50.49056991900434,5,5,5,5
H029,CD029,1.6371526709445883,1.0775812095195871,D361224,0.9471530538323354,0,0,0,0,0,0,38.52455065084926,True,BN,230.0,120.0,50.0,225.206.197.42,11256,224.0.2.0,10000,16.034660584101857,21.19419848934427,15.573291440041011,23.607994840829285,16.451336353932664,23.838774521851843,14.954487518112476,23.904817274301237,15.684495493752689,22.939802628714464,15.802056740831475,22.17969853286357,16.099640044891427,23.30900248667338,15.796109533496503,22.397921075806995,16.226203874051265,20.727372243987947,14.24321900830082,21.46182951315271,ntcl,clothesdryer,D361224,0,P5,-711,0,0,0,0,0,0,3526,40.98617147286112,3526,58.365640604173336,31.9143593691814,5,5,5,5
H030,CD030,0.9869502994371877,1.1655699060163773,D36122,0.9483320000736621,0,0,0,0,0,0,44.63704135902968,True,CN,230.0,-120.0,50.0,224.179.137.201,11295,224.0.2.0,10000,14.675668722345991,21.71831673170779,15.656218241498353,23.53751914673648,15.611667469159416,22.30126148732598,18.045809711411678,22.743589333623568,17.19864808599808,22.74760883719565,14.530726012892062,23.290809892222633,14.466035111464842,22.408611953492276,16.165220792481165,21.729613253825395,16.607437439792943,23.114943635976644,16.004854546182372,22.515426439473515,ntcl,clothesdryer,D36122,0,P3,-554,0,0,0,0,0,0,5024,39.99356460374929,5024,40.976763495211074,52.767385332222446,5,5,5,5
H031,CD031,0.15159382332634874,0.180451841607161,B7E43D2,0.9486359682697136,0,0,0,0,0,0,66.11952757696238,True,AN,230.0,0.0,50.0,233.164.78.22,10115,224.0.2.0,10000,17.83545209683403,23.59754703204302,16.022934297034514,24.0,17.007461188516793,22.646778403559853,15.848228063490025,23.56549086162483,16.587311976481605,22.224908887578078,14.072657515228386,23.075552398135976,14.72520205256115,22.00339324110063,16.063015449771196,23.164085679386485,15.700802596567538,23.464245743229363,14.476655244868457,23.92349221664551,ntcl,clothesdryer,B7E43D2,0,P3,802,0,0,0,0,0,0,3766,18.326250863129502,3766,44.91361654039769,36.077248787629124,5,5,5,5
H032,CD032,1.8263236962866076,0.26411906605692625,D361224,0.9490813164947266,0,0,0,0,0,0,70.96047448474812,True,BN,230.0,120.0,50.0,224.125.153.173,10815,224.0.2.0,10000,17.167468957992384,23.863059096514526,14.849522751188124,23.679801719333042,16.348205619237874,23.181463603249682,15.712967958838943,23.90585706520953,15.502102374328745,23.050649552250388,14.646223053302199,23.530534071075206,16.292312608838326,22.85824195596301,17.30895586026438,23.46625721237612,14.630850853685153,23.7024601214142,15.757941481747487,23.343210770421983,ntcl,clothesdryer,D361224,0,P1,262,0,0,0,0,0,0,3526,57.834866811228565,3526,53.96815640623966,35.9679614100417,5,5,5,5
H033,CD033,1.0948853607399656,0.17772031000198124,D36122,0.9532188430766028,0,0,0,0,0,0,54.5619191462594,True,CN,230.0,-120.0,50.0,235.158.247.245,12098,224.0.2.0,10000,15.758515238847776,22.91680731888971,17.607690988621638,24.0,17.25157369739425,20.07074264687212,17.41276641788996,22.692681475976112,16.004335500666787,24.0,17.98038973079758,24.0,13.89182255185906,23.062098118238914,15.727400706545236,22.96719082277113,17.187092374723587,23.694048244449515,16.667856053459484,24.0,ntcl,clothesdryer,D36122,0,P4,56,0,0,0,0,0,0,5024,47.01366814768127,5024,54.143689395112546,39.464759322286255,5,5,5,5
H034,CD034,1.4502018593907753,0.5037388478069953,D361224,0.9486424394109391,0,0,0,0,0,0,32.644861047700786,True,AN,230.0,0.0,50.0,226.2.184.197,11167,224.0.2.0,10000,15.831235854186634,24.0,14.599198825110488,22.89780338245606,17.42872419053382,21.39701951832012,17.06937911908283,21.72962714615165,16.23249326347358,21.742330939690675,15.826915603698767,22.47938779031791,14.87858136449755,22.377630274553894,16.165067518333448,22.411045738143603,17.016774984391656,23.91074772406975,15.672296128090464,22.45489436195536,ntcl,clothesdryer,D361224,0,P5,-848,0,0,0,0,0,0,3526,16.021482727059578,3526,37.987399582523096,37.01771648003765,5,5,5,5
H035,CD035,1.0451810334886384,0.2091696856876455,B7E43D4,0.9503853445696914,0,0,0,0,0,0,42.20994090011915,True,BN,230.0,120.0,50.0,230.56.137.72,12812,224.0.2.0,10000,15.439624537052332,20.74691039579635,15.49291479705565,22.024897272517578,16.90649552944189,21.002344752488362,16.387778726484775,23.116893237142943,15.314833672118578,21.9700307813764,15.939536508646636,23.042901106414266,16.29731660875811,22.020029741034502,16.695683576021175,20.979670654793168,17.26299843000302,21.767586095677167,17.395504074821957,21.908102578306753,ntcl,clothesdryer,B7E43D4,0,P4,307,0,0,0,0,0,0,2497,19.633941293221657,2497,46.71625993378824,42.75195489893588,5,5,5,5
H036,CD036,0.7133747463868949,0.5092859469455776,D36122,0.9508459585539852,0,0,0,0,0,0,33.18613466083557,True,CN,230.0,-120.0,50.0,235.212.118.11,10101,224.0.2.0,10000,15.710932568056712,22.63309830723744,15.425119196513098,20.999772977983678,14.955776189612035,24.0,17.025707090768126,22.47113183869027,16.462237140017045,22.553260283871595,14.954488149893288,24.0,15.049095784107129,23.01335636814947,15.91163150983715,21.457740373481446,15.633982318181634,24.0,17.430459295317437,23.800606927953314,ntcl,clothesdryer,D36122,0,P4,582,0,0,0,0,0,0,5024,30.33603066018173,5024,35.35677743281376,44.41719520030842,5,5,5,5
H037,CD037,1.1324579615833297,0.12341714527259856,B7E43D,0.9512660019153376,0,0,0,0,0,0,43.18325633336573,True,AN,230.0,0.0,50.0,237.250.99.137,10427,224.0.2.0,10000,16.58191442276648,22.722098875972073,15.829865787713963,23.873392157932297,15.285997938123758,22.207039457599453,16.70198751427784,22.723636621421317,14.918707941266664,23.814994816639388,16.380926207140185,23.248035552000783,15.24591045009014,22.422610674224664,16.14170574090135,21.44921314205401,16.096581640429093,22.507465849948538,16.939634147812942,24.0,ntcl,clothesdryer,B7E43D,0,P4,-479,0,0,0,0,0,0,4253,33.75364764960587,4253,42.4141316690652,30.0081958474931,5,5,5,5
H038,CD038,0.24987620929369736,0.24137527515425003,D36122,0.9502231108855926,0,0,0,0,0,0,77.64425784300782,True,BN,230.0,120.0,50.0,234.155.210.167,12023,224.0.2.0,10000,15.792589095811193,23.332638913345903,15.740028927397415,22.54152167419095,13.988838245695769,22.502178896900865,15.725546316601733,24.0,15.164558831785882,22.72231463864507,16.651298852783402,22.89858847086602,17.00389870594228,21.403805284478178,18.00590702105581,23.55860016446483,16.6629885193501,22.60111091611692,16.940395749016712,24.0,ntcl,clothesdryer,D36122,0,P1,-112,0,0,0,0,0,0,5024,56.95493428229351,5024,34.79965131844089,45.619416273985394,5,5,5,5
H039,CD039,1.3266472510867064,1.4378739733764638,B7E43D4,0.9509607039031998,0,0,0,0,0,0,73.08630574382755,True,CN,230.0,-120.0,50.0,233.187.86.104,12769,224.0.2.0,10000,15.05096266084483,21.342332305587703,16.71994208634266,23.77146125656284,15.72111788771766,21.61224802811408,16.151029659818345,23.545276168356267,16.577682295088838,23.716937136508495,15.870939326486386,22.71188471296998,16.81719936263521,22.949820616068106,16.227457738479767,24.0,16.826155532862508,22.14940091118206,18.42619393703413,22.80882103131693,ntcl,clothesdryer,B7E43D4,0,P4,-534,0,0,0,0,0,0,2497,25.05894014021956,2497,36.3919710033099,50.177891153892595,5,5,5,5
H040,CD040,1.7706707917975626,1.2193642770987045,B7E43D5,0.9500187200859022,0,0,0,0,0,0,41.47122542152023,True,AN,230.0,0.0,50.0,238.252.211.198,12478,224.0.2.0,10000,15.135615155479783,21.96736203324343,16.323961229346416,22.689030476979728,14.439609999520883,23.726233545312862,14.961765013480656,21.419038840069337,16.23187023738985,24.0,15.976566200797768,23.377574522605407,15.431993464205174,20.937366149728586,16.91920587697833,23.29368862002241,17.266176463902795,23.118278848888334,15.034997751682825,24.0,ntcl,clothesdryer,B7E43D5,0,P3,483,0,0,0,0,0,0,3177,32.75153114699008,3177,30.487109847380392,44.04781335102409,5,5,5,5
H041,CD041,1.070975134596952,0.5530544216284581,D361223,0.9495560204665424,0,0,0,0,0,0,51.80821458551107,True,BN,230.0,120.0,50.0,225.140.143.13,10236,224.0.2.0,10000,16.377325428568103,22.60750001751982,17.129075098037653,24.0,15.1286506465584,22.240648990806953,17.482600359488423,22.88592228664756,16.38486195577307,23.859526108908145,16.126398656605623,22.96517426778289,14.856933266107252,21.85023246825757,16.287701995606216,23.570793579759552,17.74863239963121,22.411794095338188,15.436442787785817,24.0,ntcl,clothesdryer,D361223,0,P3,-811,0,0,0,0,0,0,6549,36.59402639787085,6549,56.14127874009988,57.16961723784516,5,5,5,5
