house,name,load_type,capacity,charging_power,charging_efficiency,soc,min_chargingtime,min_dischargingtime,cooling_counter,heating_counter,charging_counter,discharging_counter,target_soc,hour_start,hour_end,leakage,trip_distance,trip_time,km_per_kwh,with_dr,with_v2g,proposed_status,actual_status,proposed_demand,actual_demand,mode,priority,phase,voltage,angle,frequency,mcast_ip_local,mcast_port_local,mcast_ip_global,mcast_port_global,s0,e0,s1,e1,s2,e2,s3,e3,s4,e4,s5,e5,s6,e6,s7,e7,s8,e8,s9,e9,load_class,profile,skew,irradiance,irradiance_roof,irradiance_wall1,irradiance_wall2,irradiance_wall3,irradiance_wall4,counter,min_cycletime,min_coolingtime,min_heatingtime
H011,EV011,ev,59165399.81330671,4440.384663838089,0.8981901771595925,0.8568207376561995,5,5,4,21,5,5,0.9900389941353859,18.49961651545737,6.9216073446191215,1.0000000006978881e-07,11.284644778748042,1.1058749328261692,6.352925794789082,True,False,0,0,0,0,0,74.60590944444505,BN,230.0,120.0,50.0,237.253.111.56,10026,224.0.2.0,10000,18.239465951845226,5.858599293126119,18.758001055218003,6.091252829606832,18.26885671538859,6.669896375210389,17.329353270253673,5.145557619062618,19.175685858171356,5.5835080612801,18.06786465768274,5.8976025491162964,18.14822333916204,7.968062070265691,18.177936822176743,4.701888544878541,18.57069968918594,3.6731284898364214,17.93056606158366,5.73135367814492,battery,tesla_powerwall_13kwh,0,0,0,0,0,0,0,39.346649955935966,21.574257280954427,50.40124489373091,20.64090614408032
H012,EV012,ev,253911665.67786846,2270.576694514717,0.9034690731905229,0.8782827882269177,5,5,42,58,5,5,0.9900304373473251,18.223570082962183,6.958674367705861,1.0000000012068112e-07,40.005402026786456,1.7185934317116804,6.56233346960939,True,False,0,0,0,0,1,22.781560408211195,CN,230.0,-120.0,50.0,235.21.195.214,11097,224.0.2.0,10000,17.32532956405678,4.863474452457471,18.20016292611009,6.0362304740888755,17.66966167327511,6.687384005249759,18.227588978291045,5.209879173204081,18.925570622364297,5.533908525972687,17.135268997948568,7.153427121766478,18.271770396508202,6.040022387492868,17.764586153874063,5.696824526457146,18.167837890307347,6.874135719095524,17.994383985030037,4.325105422692449,battery,tesla_s85_90kwh,0,0,0,0,0,0,0,50.78468298137244,31.745209314986063,34.970051940925735,53.49360217115312
H013,EV013,ev,115544796.13492377,1842.4975482454604,0.8972836196463698,0.83877183928357,5,5,27,32,5,5,0.9900281136408855,20.292488549984544,6.863511722522905,9.999999990755015e-08,48.07858364486042,0.5114777577201098,6.0026280939898715,True,False,0,0,0,0,0,40.75327076208215,AN,230.0,0.0,50.0,227.145.14.97,10193,224.0.2.0,10000,17.601178304085018,6.7063105295606515,17.80665364526533,6.764481229992105,17.746714337284033,6.197429200240369,17.411286002145083,3.8827647959306297,17.451116276359823,7.067219041492149,17.41246446800272,6.879210387209623,17.8910234228911,6.693944435065652,18.67634543313992,5.01861581821172,18.371590395580657,8.489770963827759,18.960756611531053,4.9208137624178665,battery,ford_focus_23kwh,0,0,0,0,0,0,0,58.60631017901561,4.423743558240779,14.473372275302744,49.11375741621031
H014,EV014,ev,175978616.41368496,4282.800275346741,0.8956080078303953,0.9139756047274462,5,5,53,41,5,5,0.9900684196623976,19.23330070996379,6.970623020889106,9.999999982179657e-08,41.56223867320671,0.3745075868692393,6.736637246983414,True,False,0,0,0,0,1,31.47395775297013,BN,230.0,120.0,50.0,237.125.230.148,10044,224.0.2.0,10000,18.603091145897064,5.007107989791181,17.53305064180544,5.97366247702934,18.129964303760193,5.0060051237605405,18.030225877962597,7.05576104624881,17.96774295095281,5.3026227610279655,17.780954362942154,5.143089651583707,17.357835075600317,7.234736186332833,18.508260349540635,6.480529325516547,18.01528220465543,7.814825425416974,17.500898036869398,6.743702200195036,battery,tesla_s85_90kwh,0,0,0,0,0,0,0,7.3590838782494945,33.23012831997304,42.74425841215555,19.89264547924272
H015,EV015,ev,91177927.29314624,6318.78289004481,0.9000773825962642,0.86170334311454,5,5,23,32,5,5,0.990065518674686,17.985079036499595,6.944595276052221,1.0000000003133222e-07,44.726498395650594,0.6543061870692308,6.604056388156566,True,False,1,1,0,0,0,70.33362595245428,CN,230.0,-120.0,50.0,230.95.177.27,11872,224.0.2.0,10000,18.220057814075467,5.7383555264081405,17.97111466062902,6.271452238289753,18.515607171638777,4.40861154964684,18.15798578127935,4.375375770377562,17.841768854950406,5.567231637621057,17.304021142829374,6.4281064927140985,17.7894546548257,5.404579046505102,17.3838140692297,6.759384269984497,17.699273858383755,5.743903848191943,18.224954416282113,5.660056865945469,battery,ford_focus_33kwh,0,0,0,0,0,0,0,20.73431424290511,19.539489336705557,35.98386497258796,14.636880003684869
H016,EV016,ev,94845110.65235992,6243.659805048692,0.8982470569339346,0.7638724897135702,5,5,33,32,5,5,0.9900924296514326,20.779838041809665,6.788428577031195,9.999999988296728e-08,44.33723259090381,0.45042650898409253,6.355545956342065,True,False,0,0,0,0,0,33.24641332241039,AN,230.0,0.0,50.0,233.150.17.250,11100,224.0.2.0,10000,18.118857768099943,6.4469316579329785,17.644673953887207,6.080708159592986,18.038821129933392,5.6795785305570075,18.22282303934221,5.129704542215434,17.750572537741515,5.784572875035252,17.863232247322845,5.107994032281585,18.238641207696865,6.888018210441649,18.225169012715718,6.245864063662698,18.85731506459871,6.166749092368335,18.13903558595553,6.659030242263252,battery,tesla_s85_90kwh,0,0,0,0,0,0,0,10.383793184581599,10.140904212904648,36.02781953084677,56.57781780336523
H017,EV017,ev,279244480.35496193,7195.600900614141,0.8996209921582878,0.8214174718161962,5,5,1,3,5,5,0.9900098974157301,18.522623411764783,6.878486208482605,9.999999995626676e-08,49.8539647776041,1.312629022033069,6.411840712730122,True,False,0,0,0,0,1,75.7310967218151,BN,230.0,120.0,50.0,229.153.32.18,11705,224.0.2.0,10000,18.41828617696001,7.557055187790752,18.69607596994926,6.480937817429351,18.853298437871885,6.462613350947118,17.5439575840432,6.329890115964547,17.83273535094238,5.268474656549557,17.71219652305416,6.305881461117843,17.281058163472355,6.7285917582912305,18.226411882635226,4.9259232788108775,18.36908711696491,6.010889588051827,18.446687872311024,5.262005972488504,battery,chevy_volt_16kwh,0,0,0,0,0,0,0,47.57120331812914,30.033288048740285,21.891168051759667,57.68180694701608
H018,EV018,ev,126698637.28795882,2239.8656967601214,0.8992459286222767,0.6375005660333593,5,5,46,25,5,5,0.9900295943285794,17.91354133608842,6.722006040129951,9.999999997804138e-08,45.99922968099129,0.8084274302221162,6.809106676621437,True,False,1,0,0,0,1,28.994757717552357,CN,230.0,-120.0,50.0,236.0.45.144,12761,224.0.2.0,10000,18.40183496233515,7.693932715641184,17.904128091636828,5.270977430621184,17.771844237153175,6.512023094803523,17.926093801211994,6.097286392248036,17.669742996430255,7.050929521928566,17.371597047099602,5.8744694786653655,17.704482476720177,4.57247443090962,17.774762578291114,4.963465214695001,18.21549572954099,6.285366838892045,18.261980742617794,6.646232519564734,battery,ford_focus_23kwh,0,0,0,0,0,0,0,3.9113828073228696,30.93486896972129,26.623800744268962,12.198658882478949
H019,EV019,ev,28746008.991976902,2488.281858975619,0.9047595791870546,0.5711238226679272,5,5,43,40,5,5,0.990019043040438,18.504445856288676,6.921919702463461,1.0000000006452449e-07,47.31998345682494,1.177873383391918,6.472369110576375,True,False,0,0,0,0,1,69.10311711148728,AN,230.0,0.0,50.0,231.71.88.244,12852,224.0.2.0,10000,17.758318415260238,6.162538687798203,17.55760953288478,6.091816911411528,17.78378931340077,4.833280427607581,17.30533428507131,2.826165704035562,18.01839752858327,4.964639327824171,17.933037142710262,6.889034511545064,18.880256045049883,5.893428909379134,18.705262939284378,5.832494529842454,17.67855896855712,5.765768834239848,18.44105640315383,4.2722228378234295,battery,nissan_leaf_30kwh,0,0,0,0,0,0,0,16.048598723694187,15.249769112278445,35.84898043095915,46.25297798576955
H020,EV020,ev,279633669.29569966,3547.1189518489055,0.8966376978581164,0.6949033142882408,5,5,16,42,5,5,0.9900248399804165,18.92305006169999,6.972210713500723,9.99999999810157e-08,41.805754593821064,0.8362917758708068,6.0151401438315455,True,False,0,0,0,0,1,60.378224901202856,BN,230.0,120.0,50.0,238.244.233.5,12408,224.0.2.0,10000,18.7303489216418,4.891362227346415,17.759108006159696,5.165977840263907,17.818504042474302,6.598883485019661,17.244967946965637,3.9489864709267,17.51581922881032,3.979906338935026,18.70207569336014,2.771385442306031,17.72226115356019,7.326464258613605,18.510712419451195,5.681992402904604,17.80130796969347,7.260430211751068,18.272134995592413,4.367158181090058,battery,ford_focus_23kwh,0,0,0,0,0,0,0,47.31775677551835,20.6040912439136,18.058498541295187,26.070767537571278
H021,EV021,ev,56394862.85226687,3767.2390349887182,0.9021065581257302,0.8841575928432106,5,5,16,58,5,5,0.9900714153941499,17.262633373826507,6.845767129253105,1.0000000005958749e-07,11.891926061792947,1.9138162923244235,6.691613002737194,True,False,0,0,0,0,1,56.518433142839264,CN,230.0,-120.0,50.0,231.66.75.60,10854,224.0.2.0,10000,18.117788533712048,5.924545096265717,18.263330087047184,7.156435638096667,17.130375672470507,5.39690935007231,17.58813486873417,6.1709181020466675,18.42231166818857,6.120399953403642,17.319130504870103,5.6296776778292195,17.29320771307044,5.1776723224820955,17.86626651159162,5.1357906952141965,17.353666275840897,7.015130928759932,18.237062803508607,6.007778279295943,battery,tesla_3_75kwh,0,0,0,0,0,0,0,42.858598719762895,9.507371348394983,40.92311607163544,20.665086051823756
H022,EV022,ev,286433695.1598719,3606.1935268831257,0.8975967623456798,0.65101941302308,5,5,8,37,5,5,0.990029777000884,20.042138637111922,6.9689927282727275,1.0000000016919229e-07,20.175200281521317,0.653391943263471,6.793623231797377,True,False,0,0,0,0,1,38.15967132654991,AN,230.0,0.0,50.0,231.123.104.11,12400,224.0.2.0,10000,18.337763421659698,6.752439256335415,17.090985384291887,5.126702454404431,17.561529008663502,3.961559395922946,19.052575109301483,5.821610545646168,17.50079801343296,6.145558479697225,18.15599488069993,4.990661916022898,17.932363909664435,6.144544930908908,18.891917162558972,6.133150722741569,17.50174447667241,5.218780342441176,17.029318530544696,4.657146046543632,battery,tesla_powerwall_13kwh,0,0,0,0,0,0,0,2.4614849086069768,54.010175916299495,27.81626620264872,34.2075832932682
H023,EV023,ev,96790261.45390137,7120.250663638639,0.9005323973460921,0.6283113930948259,5,5,49,27,5,5,0.9900500210500252,20.8752850667138,6.811306618408141,1.0000000013318548e-07,30.457035264908477,1.0115776604416054,6.259276022005135,True,False,0,0,0,0,0,42.2167384349373,BN,230.0,120.0,50.0,233.216.172.252,11067,224.0.2.0,10000,18.097630306396017,5.150346231064144,18.885852239575197,4.94669933273032,18.289167616732364,6.9320012179497095,18.39940335008735,5.346940778371699,17.951085931203213,5.372268272383246,18.635340942961903,5.767586297512188,18.040958612478953,7.01135485696132,18.034705717771832,8.155831862754038,18.669534293828416,5.491071321969594,18.257528010613296,5.286494104003121,battery,chevy_volt_16kwh,0,0,0,0,0,0,0,51.26197812902313,23.6378505685616,25.67300844961373,26.76197840960296
H024,EV024,ev,73870766.86782221,2922.7875816505007,0.8991047631088899,0.5511292819878777,5,5,12,13,5,5,0.9900534700542114,18.50459213992138,6.935630148167351,1.0000000001484003e-07,18.71563884660486,1.2138954514656295,6.539636655314567,True,False,0,1,0,0,1,25.155940966418942,CN,230.0,-120.0,50.0,228.141.75.149,10364,224.0.2.0,10000,18.33059271486243,5.628151380258662,18.852781151271458,6.632649654152889,18.427123458619057,6.82076194651807,17.63649369245323,8.302783885009205,18.345833548613825,4.720322199753243,18.27700936049453,6.981972021650772,18.07803513071125,6.973299150285321,18.155239323641354,6.101409757058712,17.534939369671875,5.751708569481155,18.710995220645373,6.940651842380237,battery,tesla_3_75kwh,0,0,0,0,0,0,0,28.664491616669594,26.042788660141564,50.15723087398539,48.02916921240383
H025,EV025,ev,89432964.98752297,6573.164916795566,0.902285585700287,0.879377831433753,5,5,33,17,5,5,0.9900696289209581,19.703887577607674,6.972758482360763,1.0000000011310074e-07,31.77083680332125,0.7218384927549225,6.653406824860264,True,False,0,0,0,0,0,59.86538249718329,AN,230.0,0.0,50.0,232.101.148.203,12835,224.0.2.0,10000,18.36514951901502,5.465084215653284,17.62928896717662,7.901887681085295,16.7313407004948,5.267841428878584,18.03745844181916,6.011060050392316,18.576996211814265,4.975744022133672,16.786417608056333,5.575141737051226,18.816730870699487,7.240935796019728,18.65427199754062,5.356499656201511,17.50933844390856,5.654010863535764,17.703624318266964,5.735405573574842,battery,tesla_powerwall_13kwh,0,0,0,0,0,0,0,31.410073945830458,46.26684634923171,51.096585509084974,4.544386540420447
H026,EV026,ev,277214517.2915224,3701.025130625822,0.904307483572933,0.6030495078625868,5,5,12,58,5,5,0.9900581529132738,20.606442704846934,6.847262103613656,1.0000000008302597e-07,32.317135253998615,0.7350039991173811,6.154124091634326,True,False,0,0,0,0,0,70.7131288694974,BN,230.0,120.0,50.0,230.170.135.191,11903,224.0.2.0,10000,17.084748550387083,5.754797423348321,18.58639602702864,5.3632176750669736,17.755038983952147,6.74730382107198,17.85308421338423,4.589235493327699,17.89327610214989,7.227610747734979,17.477399873405403,6.733158370783234,17.542701586912777,6.335289463389734,17.172213425167158,6.112470585539231,18.475912458716746,7.300273620317207,18.21072563780537,6.308454949835208,battery,tesla_3_75kwh,0,0,0,0,0,0,0,37.19260316856366,32.81983339847267,14.386568538641713,42.558780039498
H027,EV027,ev,94522886.47782406,3029.2030604150445,0.9016529714276322,0.5309639499698968,5,5,24,10,5,5,0.9900571648273306,19.03308897976615,6.959142185348659,1.0000000024150832e-07,13.305634051188038,0.7144647430027328,6.4473787366635555,True,False,0,0,0,0,1,57.94203647838192,CN,230.0,-120.0,50.0,226.99.184.160,11988,224.0.2.0,10000,18.71127181061812,7.01531066235892,17.426724810135283,5.383498396339286,17.891216495027354,5.844435951053924,18.69786927834693,6.649915089458184,17.077451391137654,5.7156501105705635,17.074372051030096,5.881306419238876,18.4264204730029,6.8343575891401915,17.866482566583205,6.519410776378282,18.080324499943004,7.154457928844694,17.894957228441278,7.907807050114704,battery,tesla_powerwall_13kwh,0,0,0,0,0,0,0,34.07633310679462,28.172450547107463,48.068523465154804,20.873814068629276
H028,EV028,ev,236463205.54703873,2479.5494993087264,0.9021385382022454,0.7826502027550688,5,5,32,44,5,5,0.9900094933700643,20.821964801460553,6.810645135567828,9.999999999120933e-08,16.694142929983272,1.6830938131199722,6.428977689242351,True,False,0,0,0,0,1,25.03997335257096,AN,230.0,0.0,50.0,228.193.209.154,10061,224.0.2.0,10000,17.954168835682886,7.55633467763178,19.19502435823157,5.102464045416903,17.60392621487215,7.464297779042713,17.46933561658596,5.935385894403842,17.736319653485484,4.448369288061157,17.53876136690886,6.134259829771875,18.70084912142115,5.651362754553312,17.860698996607244,6.808311472223219,17.064703489918976,5.486613822038577,17.491359036713963,7.114082717133943,battery,ford_focus_23kwh,0,0,0,0,0,0,0,8.079923752808057,14.992823052128461,18.733450188015563,29.850594721699146
H029,EV029,ev,180039682.79623857,2132.080056634437,0.8972386516638473,0.8168034846618502,5,5,5,36,5,5,0.990091779465994,19.749077498824043,6.936281569232099,9.999999993863068e-08,17.561350110765154,1.7895532842178918,6.852378868178758,True,False,0,0,0,0,1,53.96009205733723,BN,230.0,120.0,50.0,229.226.212.35,10660,224.0.2.0,10000,17.8712015253957,6.77200464528726,18.207133074972408,5.486255375758553,17.99784724516618,6.275137874179376,17.978742678993676,7.327951370492897,18.47080476091857,6.6039120123517785,18.221163558065495,7.245297731242127,17.361008581875115,7.181886014326117,17.529950409903847,5.79360181631365,17.797047744656993,5.039919930438949,18.307508970036203,5.300536951660304,battery,nissan_leaf_30kwh,0,0,0,0,0,0,0,44.48812776081804,34.76735418888909,3.7233907132450192,8.33224928827838
H030,EV030,ev,109771460.20765015,2782.5700174660037,0.9059103595403574,0.8409985094079282,5,5,1,44,5,5,0.9900247975826781,17.309563902875148,6.95258376434605,9.999999993510303e-08,25.289571881608286,1.409695674485506,6.272550940915854,True,False,0,0,0,0,1,35.08689591176651,CN,230.0,-120.0,50.0,234.133.67.227,12729,224.0.2.0,10000,17.208760886049483,4.277743639036369,17.257338917321697,4.729482661494268,18.50348576941199,6.365855380255245,18.619477546006724,5.775269888580479,17.988841053542988,6.6963472210729,17.6529430586908,6.881861174367647,18.038104613894642,6.258464992837883,17.739630152878277,6.372736757552781,18.256473651224155,7.112192127549147,17.59574228819068,7.280746624051844,battery,chevy_volt_16kwh,0,0,0,0,0,0,0,32.03088718204597,36.804693509229665,11.972242874431222,44.052184184986
H031,EV031,ev,215090725.40821064,6786.120775289283,0.897665330920553,0.7352792301595779,5,5,47,39,5,5,0.9900180290799828,19.53680325500686,6.799257139330413,9.999999996768508e-08,25.960040964734805,1.0711028614240985,6.831004222512561,True,False,0,0,0,0,0,38.870996565976874,AN,230.0,0.0,50.0,236.82.245.134,11409,224.0.2.0,10000,18.176087111633407,6.702937337433263,18.61822019544618,5.380177346121141,17.46017513780634,5.880181481072845,17.43520268512636,4.432210855123598,17.948604920717454,4.923089022249268,17.406868812822765,5.628202764695568,18.11282564431272,7.209196063005361,18.025387812115223,6.222799214762283,17.55243278819366,5.351531864737161,18.46160501260745,5.570375101057916,battery,tesla_3_75kwh,0,0,0,0,0,0,0,59.04961878470994,16.817730629103316,36.085512462265314,55.74182054954811
H032,EV032,ev,94873130.42681918,6204.8279031576,0.9000046272565982,0.7335783915748516,5,5,44,58,5,5,0.9901106788708919,19.79331247836643,6.791830941032714,1.000000000127026e-07,17.789619893795734,0.47755790026185535,6.808451406878309,True,False,0,0,0,0,1,34.21365733024032,BN,230.0,120.0,50.0,235.215.222.186,12975,224.0.2.0,10000,18.687281247577218,6.569419003233783,17.960731690885233,6.860773451663267,18.52798906324606,4.766439299939627,17.642073782541726,4.702366803009923,17.84368430293288,7.649316858066989,17.50978946223871,6.44359932478474,18.892429124369873,5.693275283585765,17.70094144212489,5.396575518706161,18.611778921269433,6.698224023642048,17.66078277085089,7.08695415782473,battery,chevy_volt_16kwh,0,0,0,0,0,0,0,40.010296202714876,53.954461141692114,3.3002816683394123,44.853987032693794
H033,EV033,ev,86971075.80047359,5488.7596785143905,0.903135940946323,0.7713019166820465,5,5,28,1,5,5,0.990015864566407,18.65035901614097,6.945147688635887,9.999999997123297e-08,35.33991625818125,1.1779449267345306,6.4992293583241345,True,False,0,0,0,0,0,38.1576311045165,CN,230.0,-120.0,50.0,233.224.232.164,11127,224.0.2.0,10000,18.519616378600684,5.000925910215144,17.057522031429688,6.3982790138625,17.879549175506863,5.048438080573717,17.706155264511597,4.071141558427033,18.519822091128606,4.791924665810071,18.056940172446847,6.158249783733301,18.215943608647645,6.344838913033462,17.865292157043683,6.83951411533544,17.327359305876758,5.999980938230652,18.56201975077887,4.819559300885302,battery,nissan_leaf_30kwh,0,0,0,0,0,0,0,33.252664803099385,48.75965636478926,21.23458093190438,56.34687473356951
