house,name,with_dr,cop,heating_setpoint,cooling_setpoint,tolerance,temp_max,temp_min,temp_in,temp_mat,temp_out,proposed_status,actual_status,proposed_demand,actual_demand,mode,floor_area,ceiling_height,heating_power_thermal,cooling_power_thermal,heating_power,cooling_power,ventilation_power,standby_power,min_heatingtime,min_coolingtime,cooling_counter,heating_counter,charging_counter,discharging_counter,mass_change,volume,air_part,material_part,Ua,U,Um,Ca,Cm,Cp,mass_fraction_external_heat,mass_fraction_internal_heat,schedule,schedule_skew,phase,voltage,angle,frequency,mcast_ip_local,mcast_port_local,mcast_ip_global,mcast_port_global,s0,e0,s1,e1,s2,e2,s3,e3,s4,e4,s5,e5,s6,e6,s7,e7,s8,e8,s9,e9,connected,load_class,load_type,priority,profile,skew,irradiance,irradiance_roof,irradiance_wall1,irradiance_wall2,irradiance_wall3,irradiance_wall4,counter,min_cycletime,min_chargingtime,min_dischargingtime
H011,AC011,True,3.496786775131311,20.001403331127978,20.000578870304516,1.0015362575690006,23.99955234864394,16.001554336009583,19.34096284865313,19.875556860022314,22.30316620436519,1,0,0,0,1,72.0,2.4,10400.0,7400.0,3000.0,2100.0,0,0,34.89011378706817,44.480066212305,95,84,5,5,2.5599209230682765,172.79999999999998,0.6200000000000001,0.3799999999999999,91.75736111060836,91.75736111060836,458.7868055530418,13202871.09034898,82342655999.99997,1006.0,0.4407774372406108,0.41437019180064255,P2,-446,BN,230.0,120.0,50.0,234.37.92.213,11278,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,58.335336466503456,P3,0,0,0,0,0,0,0,30.118733939293016,51.115838299729994,5,5
H012,AC012,True,3.4827984284176883,19.999285653486865,19.999610367653066,0.9989560548010857,24.000007875723313,15.998800204759709,21.39629967246328,18.61991465598825,22.681529748508932,0,0,0,0,0,50.39094161960873,2.4,7300.0,5200.0,2100.0,1500.0,0,0,44.48842956644181,39.12592641579065,77,67,5,5,3.5981108752812605,120.93825988706095,0.6200000000000001,0.3799999999999999,64.2487473684928,64.2487473684928,321.243736842464,9240348.698958268,57629499601.38227,1006.0,0.4640425333914521,0.5941435687850108,P4,486,CN,230.0,-120.0,50.0,235.14.86.196,11902,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,66.2629543031725,P1,0,0,0,0,0,0,0,43.068519524724756,41.776609165948656,5,5
H013,AC013,True,3.50622815940453,19.999194983617166,19.99973535966464,1.0014150521309912,23.9982982658716,16.001096495559004,20.184737291429453,20.05789422432549,22.8867956827162,0,0,0,0,1,72.0,2.4,10400.0,7400.0,3000.0,2100.0,0,0,37.96605676385653,38.49798163067188,34,62,5,5,1.4841823985200826,172.79999999999998,0.8200000000000003,0.17999999999999972,93.86927073347468,93.86927073347468,469.34635366737336,17461861.764655106,39004415999.99993,1006.0,0.5305949106994061,0.47717809175193593,P4,565,AN,230.0,0.0,50.0,228.170.61.183,10870,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,47.575263485383665,P5,0,0,0,0,0,0,0,32.04594524349654,52.48257186888732,5,5
H014,AC014,True,3.4910815016385683,20.00154418998365,19.99959149543518,0.9995032992145413,23.999013953887484,16.00040495672824,19.703797200080686,19.974296026593173,22.344253633395436,0,0,0,0,0,45.85541957053591,2.4,6600.0,4700.0,1900.0,1300.0,0,0,46.943560208884236,50.06901270316939,64,24,5,5,3.9714716297777173,110.05300696928617,0.8000000000000003,0.19999999999999973,59.97989252962191,59.97989252962191,299.89946264810953,10849878.017628163,27601294147.89693,1006.0,0.4795215140585554,0.47047020474060486,P4,774,BN,230.0,120.0,50.0,238.71.36.109,12498,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,38.39446162581259,P5,0,0,0,0,0,0,0,42.92884171843769,50.06558305551938,5,5
H015,AC015,True,3.501475494692614,19.999490524314584,19.99980294637358,0.9988735118001884,24.000295724485817,16.00013151535433,19.738985464376384,20.623902694643956,22.559370260641607,0,0,0,0,0,68.33866071309748,2.4,9800.0,7000.0,2800.0,2000.0,0,0,58.06439842998043,44.64528180957025,54,82,5,5,2.7155471209818396,164.01278571143396,0.8900000000000003,0.10999999999999965,90.47854616990341,90.47854616990341,452.3927308495171,17988736.77901185,22623923661.03513,1006.0,0.4187035320970073,0.4261030543316854,P2,412,CN,230.0,-120.0,50.0,226.196.221.152,10369,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,47.054093864957785,P2,0,0,0,0,0,0,0,15.978201723748636,55.805456009834344,5,5
H016,AC016,True,3.50801754321674,19.998436123613665,19.999904043038587,0.9989957280866019,23.999690384548998,16.000829935634673,19.662664949197822,18.15445590455941,21.27924949633391,0,0,0,0,0,17.260984648702234,2.4,2500.0,1800.0,700.0,500.0,0,0,52.308679543705836,59.57696186459914,6,115,5,5,2.1396887233903183,41.42636315688536,0.56,0.43999999999999995,25.90783051207144,25.90783051207144,129.5391525603572,2858892.2696508206,22857410135.443058,1006.0,0.5982223123660182,0.5632461937030754,P3,-226,AN,230.0,0.0,50.0,225.208.215.114,10836,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,24.60894807832031,P4,0,0,0,0,0,0,0,57.54228542215336,46.98636140670708,5,5
H017,AC017,True,3.503602760173605,19.999373502899967,20.002244062371947,0.9996712570115299,24.00127915827259,16.000447458202775,21.708961295597604,21.576402713462024,22.540044183085367,0,0,0,0,0,38.176734393298666,2.4,5500.0,3900.0,1600.0,1100.0,0,0,51.11450155487417,55.93236500053366,17,50,5,5,3.917278549705812,91.6241625439168,0.54,0.45999999999999996,50.40589452492297,50.40589452492297,252.02947262461487,6097288.34086953,52852481921.83296,1006.0,0.5401405943136477,0.4090354142347443,P1,94,BN,230.0,120.0,50.0,231.149.179.38,10721,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,29.91193089872163,P1,0,0,0,0,0,0,0,19.552210957022748,48.34063308418604,5,5
H018,AC018,True,3.4962111801936975,20.000539351300354,20.001278190123397,1.001587986404486,23.99840374884122,16.00007635228964,18.110968361325583,19.524558282236434,22.44010563393783,0,0,0,0,1,39.151685635912266,2.4,5600.0,4000.0,1600.0,1100.0,0,0,41.241993094025716,56.5491949338258,116,104,5,5,1.9586232363503848,93.96404552618944,0.7800000000000002,0.21999999999999975,51.70623685943824,51.70623685943824,258.5311842971912,9032110.967030413,25922800879.765114,1006.0,0.5519259441427741,0.4578894665441796,P4,850,CN,230.0,-120.0,50.0,230.49.199.35,10242,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,78.63228655460959,P3,0,0,0,0,0,0,0,55.51001520897117,46.051940228699024,5,5
H019,AC019,True,3.497190793789075,19.99958772441854,19.999481606146173,0.9997692872633842,23.998985060524042,15.99990747317492,21.32333741167066,20.886667729609805,21.78724910600497,0,0,0,0,0,18.68443482124844,2.4,2700.0,1900.0,800.0,500.0,0,0,40.673960060177464,38.74665686038392,10,10,5,5,2.096740533149028,44.84264357099626,0.7800000000000002,0.21999999999999975,26.087822266159293,26.087822266159293,130.43911133079646,4310411.823162125,12371188508.366436,1006.0,0.5063945283928275,0.48851572997636494,P4,-147,AN,230.0,0.0,50.0,227.84.96.113,11824,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,74.57428931847645,P3,0,0,0,0,0,0,0,36.47677208357671,42.247528508714595,5,5
H020,AC020,True,3.509479870031213,19.99929357239832,20.000611925127505,0.9998690575839199,24.00079542422489,15.99882506833055,18.717664888243295,20.843102839191424,21.428886343710303,0,0,0,0,1,9.020870744451463,2.4,1300.0,900.0,400.0,300.0,0,0,50.874792249767,45.36812093840695,38,34,5,5,2.6303983062510987,21.65008978668351,0.6600000000000001,0.33999999999999986,13.904304642637703,13.904304642637703,69.52152321318852,1760907.7005089032,9230732281.450377,1006.0,0.5312983358668398,0.44244790431195685,P3,564,BN,230.0,120.0,50.0,224.81.22.130,10259,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,50.01614263795477,P5,0,0,0,0,0,0,0,17.4372577170556,43.059623831068265,5,5
H021,AC021,True,3.511920596125641,20.000574200391576,19.998607844922397,0.9984396560085976,23.997984517230634,16.00109278177673,20.91381601148964,21.563460176076298,21.67154517851043,0,0,0,0,1,36.93549578794397,2.4,5300.0,3800.0,1500.0,1100.0,0,0,53.507317788272616,39.203981596398485,0,62,5,5,2.6801722301877757,88.64518989106553,0.55,0.44999999999999996,47.55442106604587,47.55442106604587,237.77210533022935,6008289.073711773,50022480655.528275,1006.0,0.43467324417560865,0.5748549126981191,P3,105,CN,230.0,-120.0,50.0,230.189.203.170,12583,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,26.733008285195496,P3,0,0,0,0,0,0,0,1.8076371791569446,50.964430761088465,5,5
H022,AC022,True,3.499508360080759,19.999842084472675,20.00066871425119,0.9991599238497076,23.9991907326592,15.99929990412669,20.228493844591053,20.734307907220217,22.12504596649235,0,0,0,0,1,41.981615042977,2.4,6000.0,4300.0,1700.0,1200.0,0,0,30.169857212698226,50.96939157057517,47,67,5,5,3.566056919402988,100.75587610314479,0.6000000000000001,0.3999999999999999,57.46064727225533,57.46064727225533,287.3032363612766,7449971.123347859,50539147453.33741,1006.0,0.5413876352357356,0.5096567852410605,P4,330,AN,230.0,0.0,50.0,234.111.58.50,11988,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,50.248495834589406,P2,0,0,0,0,0,0,0,40.45257214296916,54.83488105846345,5,5
H023,AC023,True,3.4885211836317445,19.999700052286634,19.99876457743639,1.000465999162375,24.00042969207392,15.99981389105417,19.61236203296523,19.32768397994332,21.99267411746762,0,0,0,0,1,17.410627037813736,2.4,2500.0,1800.0,700.0,500.0,0,0,35.827320313217555,54.659928940799034,100,14,5,5,2.3297433082130645,41.78550489075297,0.55,0.44999999999999996,27.811999967170934,27.811999967170934,139.05999983585468,2832182.9168978403,23579560409.8519,1006.0,0.4751930569492185,0.5194356360032105,P3,-175,BN,230.0,120.0,50.0,234.114.66.16,11048,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,44.99775989201153,P3,0,0,0,0,0,0,0,39.77301985839858,30.77518280872653,5,5
H024,AC024,True,3.511138227098808,20.000070855426202,19.99872898939425,1.0000648766876743,23.999460037695542,15.99966014898849,21.30174347253408,19.664371470748556,22.259921069339068,0,0,0,0,1,72.0,2.4,10400.0,7400.0,3000.0,2100.0,0,0,31.21282429513841,57.44697971010548,60,118,5,5,3.066228940116504,172.79999999999998,0.6500000000000001,0.34999999999999987,89.89393560635334,89.89393560635334,449.4696780317667,13841719.691494899,75841919999.99997,1006.0,0.3889565343547306,0.5837049222807571,P3,541,CN,230.0,-120.0,50.0,226.184.53.114,11441,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,22.0005723925386,P3,0,0,0,0,0,0,0,11.230269383238339,37.436203077431905,5,5
H025,AC025,True,3.5037961663379082,19.99954398741689,20.0006258035183,1.0002367332886692,23.999631982321404,15.999940881031272,20.98097444769798,21.479615710194768,21.480308125295068,0,0,0,0,0,13.501866761098016,2.4,1900.0,1400.0,500.0,400.0,0,0,32.17431297464207,53.96361164987904,61,0,5,5,3.5988050669259595,32.404480226635236,0.52,0.48,19.49463164188848,19.49463164188848,97.47315820944239,2076545.0557670086,19504904738.01628,1006.0,0.5080939243823308,0.4877886937581021,P3,-399,AN,230.0,0.0,50.0,226.139.213.149,12449,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,64.54356322457515,P4,0,0,0,0,0,0,0,44.01997108394879,56.55284827001357,5,5
H026,AC026,True,3.5092724926491004,19.999591851756385,19.998238776740497,0.9989157792039255,24.00030897897959,15.998547210709093,21.199663584488363,19.248742654492304,21.835364506146544,0,0,0,0,1,13.781075334408754,2.4,2000.0,1400.0,600.0,400.0,0,0,51.01848982167802,44.45754486316057,96,111,5,5,3.1065317375602053,33.07458080258101,0.6500000000000001,0.34999999999999987,20.18601973994011,20.18601973994011,100.93009869970055,2649358.080920282,14516433514.252802,1006.0,0.5550156468526418,0.4413544380584318,P4,94,BN,230.0,120.0,50.0,237.231.179.147,10410,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,34.043752335320306,P2,0,0,0,0,0,0,0,50.7585167540625,51.472613886060145,5,5
H027,AC027,True,3.4982863636064945,20.00117676419901,20.00180685841646,0.99857829504748,23.999237012721096,15.99775544159556,21.592349766507493,19.63831612989084,22.108719041621757,0,0,0,0,0,48.71570670411715,2.4,7000.0,5000.0,2000.0,1400.0,0,0,42.62726315911706,44.335061114069454,39,70,5,5,3.2725897690089814,116.91769608988116,0.7700000000000002,0.22999999999999976,61.652297579981884,61.652297579981884,308.2614878999094,11094402.793034844,33721401906.24349,1006.0,0.49939982933024185,0.510925812175113,P3,-507,CN,230.0,-120.0,50.0,237.163.114.30,10203,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,69.95402176943685,P3,0,0,0,0,0,0,0,53.43015377301638,39.607974268081044,5,5
H028,AC028,True,3.5039963114743973,19.99898629382131,20.0002058708388,1.0003838310289588,23.999896485890417,15.999223620466765,21.480427297174412,21.046279205108632,23.348704123065687,0,0,0,0,0,34.8128783357513,2.4,5000.0,3600.0,1400.0,1000.0,0,0,47.35966576948745,30.362713557575752,114,68,5,5,1.7860040175989833,83.55090800580312,0.9400000000000004,0.05999999999999961,44.0232868353364,44.0232868353364,220.116434176682,9678587.550489955,6286370318.356586,1006.0,0.4715955688497605,0.466989069738386,P4,788,AN,230.0,0.0,50.0,226.223.214.175,11399,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,31.153294708662237,P4,0,0,0,0,0,0,0,6.382223316175349,44.783674446411226,5,5
H029,AC029,True,3.4997503387180497,19.99947762698512,19.999693318529157,1.0007583662924746,23.997334699253678,15.999959722801334,18.834728018811692,19.67568379907194,21.003527355716976,0,0,0,0,1,41.47968431694816,2.4,6000.0,4300.0,1700.0,1200.0,0,0,47.002828756228126,54.87201788928445,54,19,5,5,3.181140332854906,99.55124236067557,0.6700000000000002,0.32999999999999985,53.81259594496978,53.81259594496978,269.0629797248489,8219671.139927749,41196295113.694756,1006.0,0.4790125130538271,0.42482504986015074,P5,135,BN,230.0,120.0,50.0,225.206.197.42,11256,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,29.60094816778989,P4,0,0,0,0,0,0,0,59.38657135154313,33.2111478064347,5,5
H030,AC030,True,3.520327083805755,19.99929391170718,20.000525034785795,0.9997523225042647,24.001433898166162,16.00051848082005,19.627092875461408,21.51155004333575,21.709284544352414,0,0,0,0,0,41.615684310190936,2.4,6000.0,4300.0,1700.0,1200.0,0,0,50.99830776917366,30.744110448155396,84,114,5,5,3.403176429160632,99.87764234445824,0.54,0.45999999999999996,55.453287599876454,55.453287599876454,277.2664379993823,6646530.426823905,57613419209.97729,1006.0,0.5027940325490418,0.5314232650668674,P3,431,CN,230.0,-120.0,50.0,224.179.137.201,11295,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,58.98083093880344,P4,0,0,0,0,0,0,0,8.083795204513507,46.01743032692211,5,5
H031,AC031,True,3.4902935781926763,19.998706728979574,20.000512298411284,1.0006126369249557,23.999999681911195,16.002008115799807,18.95277138998217,18.681287331674177,21.76642831708712,0,0,0,0,0,21.032689560827762,2.4,3000.0,2100.0,900.0,600.0,0,0,47.71407302320067,39.88600981253903,95,119,5,5,3.4754897609001874,50.47845494598663,0.51,0.49,28.81707077447982,28.81707077447982,144.0853538723991,3172555.182952916,31016991426.110943,1006.0,0.48942226488353685,0.47542415411569483,P3,723,AN,230.0,0.0,50.0,233.164.78.22,10115,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,39.619974665216304,P2,0,0,0,0,0,0,0,43.404167696834065,42.627017461647995,5,5
H032,AC032,True,3.528203728561681,20.00053058814815,19.99944056258546,0.999418266158145,24.00060687113778,16.00039716668503,21.165282153254843,18.89675609906599,21.85942032444894,0,0,0,0,0,19.816770943909265,2.4,2900.0,2100.0,800.0,600.0,0,0,37.3586316893897,34.967748597353825,105,13,5,5,1.976753981973462,47.56025026538224,0.5900000000000001,0.4099999999999999,27.5685057733556,27.5685057733556,137.842528866778,3458032.7194814133,24452627071.44362,1006.0,0.515470362088015,0.5261749304015062,P1,556,BN,230.0,120.0,50.0,224.125.153.173,10815,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,61.92887627225845,P2,0,0,0,0,0,0,0,21.12630021878098,50.50660675013887,5,5
H033,AC033,True,3.5039698636884413,20.00168086416934,19.999327434991663,1.0000062963894354,24.00070746319802,16.000717981162012,19.864358954779632,20.430551488724657,21.559632738763923,0,0,0,0,1,17.002892312365738,2.4,2400.0,1700.0,700.0,500.0,0,0,55.956245315780805,45.8600635163626,72,55,5,5,3.659088372892951,40.80694154967777,0.9200000000000004,0.07999999999999963,25.71733276386397,25.71733276386397,128.58666381931985,4626524.097988138,4093752376.2636547,1006.0,0.43929460182974606,0.49131296391899865,P4,49,CN,230.0,-120.0,50.0,235.158.247.245,12098,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,57.947588301876124,P2,0,0,0,0,0,0,0,56.94280841420668,52.12784495829432,5,5
H034,AC034,True,3.485548822630716,20.000153166880786,20.000280059214223,0.9989550663988455,23.997704938252728,15.99959249448877,21.534174526678616,21.993221005137364,22.32227707564851,0,0,0,0,1,67.93370440560746,2.4,9800.0,7000.0,2800.0,2000.0,0,0,46.25407943011315,58.180873313400525,23,21,5,5,2.793357747475725,163.0408905734579,0.9100000000000004,0.08999999999999964,87.26048171658394,87.26048171658394,436.3024085829197,18283986.271975096,18400794910.120384,1006.0,0.5002639058774287,0.3491853410990049,P5,-310,AN,230.0,0.0,50.0,226.2.184.197,11167,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,45.594928687206576,P3,0,0,0,0,0,0,0,40.271580479081464,32.764993890791224,5,5
