house,name,with_dr,cop,heating_setpoint,cooling_setpoint,tolerance,temp_max,temp_min,temp_in,temp_mat,temp_out,p_status,a_status,p_demand,a_demand,mode,d_priority,priority,floor_area,ceiling_height,heating_power_thermal,cooling_power_thermal,heating_power,cooling_power,ventilation_power,standby_power,min_heatingtime,min_coolingtime,cooling_counter,heating_counter,charging_counter,discharging_counter,mass_change,volume,air_part,material_part,Ua,Um,Ca,Cm,Cp,mass_fraction_external_heat,mass_fraction_internal_heat,schedule_skew,phase,voltage,angle,frequency,mcast_ip_local,mcast_port_local,mcast_ip_global,mcast_port_global,s0,e0,s1,e1,s2,e2,s3,e3,s4,e4,s5,e5,s6,e6,s7,e7,s8,e8,s9,e9,load_class,load_type,profile,skew,irradiance,irradiance_roof,irradiance_wall1,irradiance_wall2,irradiance_wall3,irradiance_wall4,min_cycletime,min_chargingtime,min_dischargingtime
H010,AC010,True,4.0036578321701075,22.02305918215046,21.65993408291111,0.4,22.15993408291111,21.52305918215046,22.786302605641854,22.35593344981606,22.114446189613336,0,1,0,0,0,18,2.6899999999999853,63.828684435378676,2.4,9200.0,-6900.0,2297.8986680820603,-1723.4240010615454,6.382868443537868,1.8047266111837774,60,60,83,38,5,5,2.9475581064856415,153.18884264490882,0.6200000000000001,0.3799999999999999,88.79498853086076,443.97494265430385,11704672.593666838,72997547297.15193,1006.0,0.4549498580232056,0.495910308571318,1.4140064186190016,BN,230.0,120.0,50.0,235.55.48.165,12630,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_19,0,0,0,0,0,0,0,120,5,5
H011,AC011,True,3.9946521908286763,21.597675752856837,22.205074880763917,0.2,22.705074880763917,21.097675752856837,22.221485862357255,23.854087761804877,21.383122245209886,0,0,0,0,0,18,6.189999999999911,57.14381279789398,2.4,8200.0,-6100.0,2052.744421360734,-1527.0415817439607,5.714381279789398,1.8035531156044502,120,120,59,56,5,5,3.9953410471953656,137.14515071494554,0.7100000000000002,0.2899999999999998,79.26081810663572,396.3040905331786,11999944.85449079,49874205508.99706,1006.0,0.539506241892371,0.48756700440007095,-1.2622381054404226,CN,230.0,-120.0,50.0,238.208.69.249,12174,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_17,0,0,0,0,0,0,0,60,5,5
H012,AC012,True,4.002521789516368,21.760686924909738,21.333250787510867,0.30000000000000004,21.833250787510867,21.260686924909738,22.118164723276422,22.425253766911602,22.141328503177952,0,1,0,0,0,18,3.4199999999999697,113.8441514574238,2.4,16400.0,-12300.0,4097.416794320973,-3073.06259574073,11.38441514574238,1.802973290689207,60,120,10,115,5,5,3.01825343997419,273.22596349781713,0.8100000000000003,0.18999999999999972,146.3675038509698,731.837519254849,27273911.720481712,65098818062.98982,1006.0,0.5326449729258105,0.5633257213478573,-0.28788858397114125,AN,230.0,0.0,50.0,229.104.66.56,10242,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_7,0,0,0,0,0,0,0,60,5,5
H013,AC013,True,3.9975548773728127,21.24244156827841,21.21331252753747,0.2,21.71331252753747,20.74244156827841,20.93985677254456,21.043674218374974,22.40118403671574,1,0,0,0,1,18,3.87999999999996,158.05977802275675,2.4,22800.0,-17100.0,5703.486430931532,-4277.614823198649,15.805977802275676,1.7968249156111322,60,60,77,64,5,5,1.4186384853764045,379.3434672546162,0.8500000000000003,0.1499999999999997,195.06173378762438,975.3086689381219,39736716.743619025,71354506190.59315,1006.0,0.5331357166033295,0.4955207578438883,0.4899067348773248,BN,230.0,120.0,50.0,228.7.134.3,11108,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_7,0,0,0,0,0,0,0,120,5,5
H014,AC014,True,4.015200142293219,22.40318624422947,22.00843137038115,0.2,22.50843137038115,21.90318624422947,20.535128769310177,22.74857431177502,21.624980886481286,0,0,0,0,1,18,6.0099999999999145,98.51335667585649,2.4,14200.0,-10700.0,3536.560942610918,-2664.873386333579,9.85133566758565,1.8056040699822788,120,120,56,80,5,5,1.4486703684270676,236.43205602205555,0.5700000000000001,0.42999999999999994,127.32827919436632,636.6413959718316,16608165.350192914,127488893248.21275,1006.0,0.48500628284469455,0.4339910693727581,0.9309788570432418,CN,230.0,-120.0,50.0,235.60.97.237,12782,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_19,0,0,0,0,0,0,0,60,5,5
H015,AC015,True,4.006495990102189,21.916831324585406,22.45087887484636,0.2,22.95087887484636,21.416831324585406,22.29451159264981,21.44924085764739,22.60632865047729,0,0,0,0,1,18,5.569999999999924,123.81399366013264,2.4,17800.0,-13400.0,4442.784928269951,-3344.568429147042,12.381399366013264,1.7936463978137065,120,120,89,88,5,5,1.266396084511082,297.1535847843183,0.7800000000000002,0.21999999999999975,156.37679642977832,781.8839821488916,28563802.52854677,81978730970.29764,1006.0,0.5382034252081166,0.5198175858502935,-0.3351495760158078,AN,230.0,0.0,50.0,231.202.185.252,11118,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_20,0,0,0,0,0,0,0,120,5,5
H016,AC016,True,3.995094765268074,21.65099156503019,22.65430911159676,0.30000000000000004,23.15430911159676,21.15099156503019,24.624082639694215,23.271426303733776,21.61763422598816,1,0,0,0,1,18,5.789999999999919,58.67958011912013,2.4,8400.0,-6300.0,2102.5784101610298,-1576.9338076207723,5.867958011912013,1.803821502129445,60,60,68,114,5,5,2.4487606520058867,140.8309922858883,0.6000000000000001,0.3999999999999999,83.06365419548278,415.31827097741393,10413337.28139055,70640825730.60156,1006.0,0.5159079839639832,0.5159061737907165,-0.2454038749571037,BN,230.0,120.0,50.0,225.182.60.49,11317,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_7,0,0,0,0,0,0,0,120,5,5
H017,AC017,True,3.9933884813083065,22.145949505302536,22.58976960412253,0.2,23.08976960412253,21.645949505302536,22.7856631892779,22.567343762438682,21.56472421538177,1,0,0,0,0,18,3.319999999999972,153.55918722746335,2.4,22100.0,-16600.0,5534.147279545325,-4156.870807260289,15.355918722746337,1.802094843487829,60,120,84,106,5,5,2.4792434941463686,368.54204934591206,0.7200000000000002,0.2799999999999998,191.69667461449706,958.4833730724853,32700921.295135263,129402484366.33655,1006.0,0.4989294207478729,0.4948462137471046,-0.15119380778851899,CN,230.0,-120.0,50.0,228.187.183.254,10899,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_19,0,0,0,0,0,0,0,120,5,5
H018,AC018,True,3.988198596530331,21.043330411804305,21.906066863733034,0.1,22.406066863733034,20.543330411804305,21.9112015800668,21.092092086289608,22.306965779886365,1,1,0,0,1,18,6.549999999999903,146.52538469391303,2.4,21100.0,-15800.0,5290.609153304618,-3961.6883707209936,14.652538469391303,1.7995522384092877,60,60,82,41,5,5,2.7932079230258893,351.66092326539126,0.6400000000000001,0.3599999999999999,184.53069379640027,922.6534689820014,27736044.88204432,158753807198.92816,1006.0,0.4968217694786939,0.5108119580121486,0.5572589718896206,AN,230.0,0.0,50.0,227.189.239.79,10096,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_7,0,0,0,0,0,0,0,120,5,5
H019,AC019,True,4.004469006323735,22.5116267615062,21.43679742462098,0.1,21.93679742462098,22.0116267615062,20.388025094212246,23.297629227164748,22.904131808637953,0,1,0,0,0,18,2.519999999999989,127.47764396128309,2.4,18400.0,-13800.0,4594.8663782746935,-3446.14978370602,12.74776439612831,1.8070040058528014,60,60,13,96,5,5,3.595729511378282,305.9463455070794,0.53,0.47,158.77531666591057,793.8765833295529,19983041.256909594,180318657114.9625,1006.0,0.5099662008605599,0.5135253833646412,0.6199553024507735,BN,230.0,120.0,50.0,229.77.163.30,10804,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_9,0,0,0,0,0,0,0,120,5,5
H020,AC020,True,4.0166358488279155,21.550841335819392,21.139084729982805,0.1,21.639084729982805,21.050841335819392,20.84358799305418,23.839316419265867,22.147826773456405,1,0,0,0,1,18,7.859999999999875,34.30085861881876,2.4,4900.0,-3700.0,1219.926372322215,-921.1688933861624,3.430085861881876,1.8020982123068894,60,60,39,76,5,5,3.4577958738462997,82.32206068516501,0.5700000000000001,0.42999999999999994,52.00320738130472,260.0160369065236,5782711.612084847,44389701562.65467,1006.0,0.4374138828497328,0.5197635441682266,-0.21414759395242997,CN,230.0,-120.0,50.0,232.197.250.144,10375,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_17,0,0,0,0,0,0,0,60,5,5
H021,AC021,True,4.022917816507555,21.220611829848313,22.941886155206333,0.4,23.441886155206333,20.720611829848313,22.81748021021139,23.563883145047036,22.44602470193473,0,1,0,0,0,18,5.219999999999931,33.61698546121854,2.4,4800.0,-3600.0,1193.1638226124785,-894.8728669593588,3.361698546121854,1.7952862823464133,60,60,57,35,5,5,3.402918673537188,80.6807651069245,0.7900000000000003,0.20999999999999974,50.48275600665231,252.41378003326156,7854843.648383937,21246472683.257473,1006.0,0.449448757652215,0.4979962552103439,0.7642443405094406,AN,230.0,0.0,50.0,236.137.99.104,11306,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_20,0,0,0,0,0,0,0,60,5,5
H022,AC022,True,3.99094645079303,21.92004254758587,21.44400874985529,0.4,21.94400874985529,21.42004254758587,21.155460615244294,20.516304639870263,22.357159669698465,1,1,0,0,0,18,6.979999999999894,102.02025852658767,2.4,14700.0,-11000.0,3683.336817781407,-2756.2384350745224,10.202025852658767,1.8031065265539168,60,120,115,15,5,5,2.3240347030445103,244.8486204638104,0.7900000000000003,0.20999999999999974,132.27890008068235,661.3945004034117,23837746.56470958,64478435712.93975,1006.0,0.520143734434641,0.4686654968385615,1.0655225720570458,BN,230.0,120.0,50.0,230.214.82.131,11416,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_7,0,0,0,0,0,0,0,120,5,5
H023,AC023,True,3.997654286901009,21.93696473680431,21.73895942724003,0.30000000000000004,22.23895942724003,21.43696473680431,20.61676827765092,21.458027020595292,22.580203922723047,1,0,0,0,0,18,2.229999999999995,155.9506792359412,2.4,22500.0,-16900.0,5628.300594607457,-4227.479113282935,15.595067923594122,1.7979742553034592,60,120,93,2,5,5,1.7787872685937423,374.2816301662589,0.6900000000000002,0.30999999999999983,198.5252038239228,992.6260191196139,31826438.97036256,145498240910.83142,1006.0,0.5081822827506582,0.47947048825689825,-1.2971382752387608,CN,230.0,-120.0,50.0,234.182.178.127,12491,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_7,0,0,0,0,0,0,0,120,5,5
H024,AC024,True,4.013870510970454,21.250799687160853,22.502865311201816,0.1,23.002865311201816,20.750799687160853,21.362555760272507,21.811753566919094,21.697406668498846,1,1,0,0,0,18,7.769999999999877,46.31040278568316,2.4,6700.0,-5000.0,1669.2117948718048,-1245.6804439341827,4.6310402785683165,1.7999345232321808,120,60,102,72,5,5,1.2876479562432361,111.14496668563957,0.6500000000000001,0.34999999999999987,66.54179046482537,332.7089523241268,8903148.189498294,48781525878.32718,1006.0,0.5026252392283078,0.4980614981588213,1.3091315713370162,AN,230.0,0.0,50.0,227.148.232.61,11667,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_7,0,0,0,0,0,0,0,120,5,5
H025,AC025,True,4.0214700354229,22.625614669563152,22.330569480002772,0.1,22.830569480002772,22.125614669563152,21.76258022881319,22.89469193597082,22.083052151479464,1,0,0,0,0,18,6.269999999999909,128.2587866839816,2.4,18500.0,-13900.0,4600.307807106296,-3456.447487501487,12.825878668398161,1.8027130243937122,120,60,85,80,5,5,2.5033441546231106,307.82108804155587,0.7500000000000002,0.24999999999999978,166.31706744127106,831.5853372063553,28451166.537212312,96501911101.02768,1006.0,0.5172649663824136,0.5642184026932094,-0.7263924897962346,BN,230.0,120.0,50.0,226.41.81.207,12642,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_20,0,0,0,0,0,0,0,60,5,5
H026,AC026,True,3.999679956459027,21.85866776949785,21.95014411949718,0.4,22.45014411949718,21.35866776949785,20.648675809282036,21.27335605146603,22.29952424660651,0,0,0,0,1,18,2.789999999999983,139.8129725581944,2.4,20100.0,-15100.0,5025.402086869673,-3775.3020652603022,13.98129725581944,1.799359498570578,120,60,51,116,5,5,3.1554074013871696,335.55113413966654,0.6500000000000001,0.34999999999999987,181.51908166510532,907.5954083255266,26878963.226912055,147273392773.8996,1006.0,0.46411757335078674,0.4845668568672526,-0.9556332330501742,CN,230.0,-120.0,50.0,230.187.252.188,11338,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_20,0,0,0,0,0,0,0,120,5,5
H027,AC027,True,4.015844279825327,21.824410043102716,22.219364778367485,0.1,22.719364778367485,21.324410043102716,20.512103406497534,21.673186927829136,21.5347732861224,1,1,0,0,1,18,2.149999999999997,59.444440537259815,2.4,8600.0,-6500.0,2141.517300161366,-1618.588657098707,5.944444053725982,1.7997833042452405,120,60,87,37,5,5,1.063577999411409,142.66665728942354,0.7100000000000002,0.2899999999999998,80.7549604566165,403.7748022830825,12483066.379838487,51882156589.871735,1006.0,0.5591110591823564,0.5168251475460156,-0.15009038250551446,AN,230.0,0.0,50.0,230.178.166.218,11311,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_7,0,0,0,0,0,0,0,60,5,5
H028,AC028,True,3.995471874666471,22.96843854737323,21.646029468779545,0.2,22.146029468779545,22.46843854737323,20.341966116625024,22.529651794387387,22.7922307866294,1,1,0,0,1,18,3.3499999999999712,70.78535125300404,2.4,10200.0,-7600.0,2552.889951415679,-1902.1532971332513,7.078535125300404,1.7957876189831607,120,120,72,62,5,5,2.981352741326734,169.8848430072097,0.9300000000000004,0.06999999999999962,96.69854874045055,483.4927437022527,19470541.375866644,14912491519.172785,1006.0,0.49105273816248896,0.5410867683243044,0.18036305131468344,BN,230.0,120.0,50.0,226.231.2.38,11139,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_9,0,0,0,0,0,0,0,60,5,5
H029,AC029,True,3.999800465158249,22.390190227633997,22.30965465593671,0.2,22.80965465593671,21.890190227633997,21.035167485666413,22.24268820130915,22.515266248734125,1,0,0,0,1,18,6.999999999999893,146.46766647833513,2.4,21100.0,-15800.0,5275.263149699443,-3950.1970504858386,14.646766647833514,1.796914106539596,120,120,64,104,5,5,2.009648571620053,351.52239954800433,0.8600000000000003,0.13999999999999968,183.0289376525287,915.1446882626435,37255629.060239516,61713272464.6475,1006.0,0.5363111813538389,0.5165069572378296,0.6954003038697893,CN,230.0,-120.0,50.0,230.235.247.119,11900,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_19,0,0,0,0,0,0,0,60,5,5
H030,AC030,True,4.015301188039665,22.845875114902807,22.451679776895606,0.4,22.951679776895606,22.345875114902807,24.753271697790943,23.135473426796953,22.220340605370783,0,1,0,0,0,18,7.249999999999888,40.001419489275605,2.4,5800.0,-4400.0,1444.4744561818673,-1095.8082081379682,4.000141948927561,1.7974837283900575,120,120,59,18,5,5,2.3955343780014706,96.00340677426145,0.53,0.47,58.86728629513714,294.3364314756857,6270511.370855872,56582487884.614204,1006.0,0.5306354758306584,0.533153689939931,-1.3560158487806504,AN,230.0,0.0,50.0,232.142.63.95,10956,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_19,0,0,0,0,0,0,0,120,5,5
H031,AC031,True,4.012135320736466,22.219375436416563,21.303783814139415,0.1,21.803783814139415,21.719375436416563,21.694109297931398,21.414235792380932,21.810904223903222,1,0,0,0,1,18,8.019999999999872,106.2135156361873,2.4,15300.0,-11500.0,3813.4306988408207,-2866.304120043754,10.621351563618731,1.8035386906805313,60,60,27,36,5,5,3.4879361101206623,254.9124375268495,0.7100000000000002,0.2899999999999998,136.2053679255462,681.026839627731,22304362.7652864,92701457031.01404,1006.0,0.48016158553628085,0.5035259039408542,0.1461010949383849,BN,230.0,120.0,50.0,236.182.201.35,12802,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_17,0,0,0,0,0,0,0,120,5,5
H032,AC032,True,3.999810215868297,21.601593736579254,21.608671250341754,0.2,22.108671250341754,21.101593736579254,20.971493397273345,22.94028107711585,21.310724816287976,1,1,0,0,0,18,5.1199999999999335,44.89389439823179,2.4,6500.0,-4900.0,1625.0771034617576,-1225.0581241480943,4.489389439823179,1.8039163233211613,60,120,76,107,5,5,3.067796763176773,107.74534655575629,0.6800000000000002,0.31999999999999984,65.93327063710153,329.66635318550766,9029171.051796049,43236052665.89386,1006.0,0.4846281132771512,0.49169518479626595,0.24587430364924878,CN,230.0,-120.0,50.0,231.148.183.38,11829,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_19,0,0,0,0,0,0,0,60,5,5
H033,AC033,True,3.9974916553233495,21.868469898420713,21.496797690136166,0.1,21.996797690136166,21.368469898420713,20.631369052870784,22.625843103625837,21.509555029359287,1,0,0,0,1,18,7.499999999999883,91.68060029892638,2.4,13200.0,-9900.0,3302.0706828548155,-2476.5530121411116,9.168060029892638,1.8052096497240624,120,60,60,13,5,5,2.663165428846658,220.0334407174233,0.6500000000000001,0.34999999999999987,119.77161402283593,598.8580701141797,17625542.45837493,96572677130.87704,1006.0,0.5460424314228705,0.4373191128371448,-0.8307663328771405,AN,230.0,0.0,50.0,237.18.68.81,12198,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_19,0,0,0,0,0,0,0,120,5,5
H034,AC034,True,3.9933725754911222,21.395386673508686,21.208061752883484,0.30000000000000004,21.708061752883484,20.895386673508686,20.572128437593836,21.13372857014272,22.255163727293795,0,0,0,0,0,18,7.659999999999879,129.78346129424327,2.4,18700.0,-14000.0,4682.75865737376,-3505.8086204937235,12.978346129424327,1.8010111036933139,120,60,26,82,5,5,2.2379525710069768,311.48030710618383,0.7200000000000002,0.2799999999999998,163.6154150679064,818.077075339532,27637804.222724196,109366965431.12318,1006.0,0.5547803159243544,0.4844726547567806,4.224637996091962e-05,BN,230.0,120.0,50.0,224.81.251.208,11349,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_20,0,0,0,0,0,0,0,60,5,5
