house,name,with_dr,cop,heating_setpoint,cooling_setpoint,tolerance,temp_max,temp_min,temp_in,temp_mat,temp_out,proposed_status,actual_status,proposed_demand,actual_demand,mode,priority,floor_area,ceiling_height,heating_power_thermal,heating_power,cooling_power_thermal,cooling_power,ventilation_power,standby_power,min_heatingtime,min_coolingtime,cooling_counter,heating_counter,charging_counter,discharging_counter,mass_change,volume,air_part,material_part,Ua,U,Um,Ca,Cm,Cp,mass_fraction_external_heat,mass_fraction_internal_heat,schedule,schedule_skew,phase,voltage,angle,frequency,mcast_ip_local,mcast_port_local,mcast_ip_global,mcast_port_global,s0,e0,s1,e1,s2,e2,s3,e3,s4,e4,s5,e5,s6,e6,s7,e7,s8,e8,s9,e9,connected,load_class,load_type,d_priority,profile,skew,irradiance,irradiance_roof,irradiance_wall1,irradiance_wall2,irradiance_wall3,irradiance_wall4,counter,min_cycletime,min_chargingtime,min_dischargingtime
H011,EH011,True,1,20.000333844900616,99999,1.0016821096278485,22.999787458516064,17.001344906700307,20.081579236577884,18.111169603959254,21.943435234029312,0,0,0,0,0,32.558188144323594,52.493163967453846,2.4,4200.0,2400.0,0,0,0,0,2.9104779800794813,3.974147589536349,0,0,5,5,2.5599209230682765,125.98359352188922,0.6600000000000001,0.33999999999999986,66.89769725000052,7.689390488505808,334.4884862500026,1024686.1890934538,53714364933.992676,1006.0,0.4407774372406108,0.41437019180064255,P2,-136,BN,230.0,120.0,50.0,234.37.92.213,11278,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,67.69846311037978,P3,0,0,0,0,0,0,0,1.1846179582348026,3.066834328557846,5,5
H012,EH012,True,1,20.001934152960775,99999,1.0007322804762129,22.99865502318143,17.00135396774105,21.115575704130222,19.74143224157948,22.25688588526344,0,0,0,0,0,20.771815041430123,51.91035777333095,2.4,4200.0,2400.0,0,0,0,0,4.210941747170671,2.9943071497944986,0,0,5,5,3.5981108752812605,124.58485865599428,0.52,0.48,66.18601191387526,7.607587576307502,330.93005956937634,798365.1348707336,74990118122.21608,1006.0,0.4640425333914521,0.5941435687850108,P4,-198,CN,230.0,-120.0,50.0,235.14.86.196,11902,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,26.13784205515325,P4,0,0,0,0,0,0,0,1.1522177403478011,4.795094934958632,5,5
H013,EH013,True,1,19.999340802806497,99999,0.999740517300291,23.000960647647116,17.000104892163453,20.20199815562632,21.493220548381814,21.94635638286034,0,0,0,0,0,51.575894708028905,51.280775182139,2.4,4100.0,2400.0,0,0,0,0,3.4293041951767025,2.6386645977118857,0,0,5,5,1.4841823985200826,123.0738604371336,0.6300000000000001,0.3699999999999999,66.85679123603688,7.684688647820332,334.2839561801844,955519.0018146451,57103809765.62123,1006.0,0.5305949106994061,0.47717809175193593,P4,-789,AN,230.0,0.0,50.0,228.170.61.183,10870,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,68.81687136490847,P1,0,0,0,0,0,0,0,1.9679131632506248,2.444364125673886,5,5
H014,EH014,True,1,19.998968377249888,99999,1.0016539743369364,22.999988350301116,17.00047532094482,21.561208770227502,18.312318518954914,22.59453689991048,0,0,0,0,1,60.96504420184707,59.56133761875804,2.4,4800.0,2400.0,0,0,0,0,2.854799751422616,2.5311159895752695,0,0,5,5,3.9714716297777173,142.94721028501928,0.6100000000000001,0.3899999999999999,77.9075333461589,8.954888890363092,389.5376667307945,1074579.3103831126,69909762661.99152,1006.0,0.4795215140585554,0.47047020474060486,P4,-475,BN,230.0,120.0,50.0,238.71.36.109,12498,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,55.603576933947934,P4,0,0,0,0,0,0,0,3.600047765701011,4.385290931732419,5,5
H015,EH015,True,1,20.000636688524764,99999,1.001099316654664,23.000297600181735,17.001075621686145,21.953305085146557,19.077452955783055,22.19398222870974,0,0,0,0,0,58.20233380763246,32.82746093593241,2.4,2600.0,2400.0,0,0,0,0,3.6108611544016362,2.5886771064363807,0,0,5,5,2.7155471209818396,78.78590624623777,0.8700000000000003,0.12999999999999967,43.46267411358867,4.995709668228583,217.31337056794334,844696.5936731781,12843678436.26165,1006.0,0.4187035320970073,0.4261030543316854,P2,321,CN,230.0,-120.0,50.0,226.196.221.152,10369,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,23.76545558741669,P2,0,0,0,0,0,0,0,2.062880382424657,2.851098902472484,5,5
H016,EH016,True,1,19.999582876782934,99999,1.0011492164094615,22.99810297685227,17.00104934999945,19.46127374324737,19.498605908129754,21.563433571430338,0,0,0,0,0,29.57042792763209,13.989982709822035,2.4,1100.0,2000.0,0,0,0,0,2.554918213416233,4.093524229808731,0,0,5,5,2.1396887233903183,33.575958503572885,0.7700000000000002,0.22999999999999976,20.998228565143297,2.413589490246356,104.99114282571648,318604.64263210894,9683977951.600481,1006.0,0.5982223123660182,0.5632461937030754,P3,-143,AN,230.0,0.0,50.0,225.208.215.114,10836,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,34.97726315405236,P5,0,0,0,0,0,0,0,3.6482424368577346,4.107537650531919,5,5
H017,EH017,True,1,19.998904378210604,99999,1.0008824641510117,23.000028281529573,17.000842940591976,18.465268130197273,19.760498755047806,21.817258971153095,0,0,0,0,1,51.556507672412934,30.107387212953242,2.4,2400.0,2400.0,0,0,0,0,3.0633988907031737,4.355190384271215,0,0,5,5,3.917278549705812,72.25772931108777,0.8300000000000003,0.1699999999999997,39.751691924271164,4.569159991295536,198.75845962135583,739086.649549887,15403902734.537664,1006.0,0.5401405943136477,0.4090354142347443,P1,654,BN,230.0,120.0,50.0,231.149.179.38,10721,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,37.119045980519005,P2,0,0,0,0,0,0,0,3.9722807686827966,4.8345276830961526,5,5
H018,EH018,True,1,20.00013518100116,99999,1.001374615030738,22.999565804063405,17.001182601641872,21.586890798678024,21.178748121314424,21.946599149927703,0,0,0,0,1,69.73461537994422,43.16329228544874,2.4,3500.0,2400.0,0,0,0,0,4.660925344194908,4.520832963740054,0,0,5,5,1.9586232363503848,103.59190148507697,0.7100000000000002,0.2899999999999998,57.004222890914946,6.552209527691374,285.02111445457473,906394.1813500948,37672230894.06307,1006.0,0.5519259441427741,0.4578894665441796,P4,-459,CN,230.0,-120.0,50.0,230.49.199.35,10242,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,64.0644256661805,P5,0,0,0,0,0,0,0,3.467392163778029,4.411546035784315,5,5
H019,EH019,True,1,20.001120663574042,99999,0.9988175299198568,23.00099367982491,17.000410991822612,20.53913186656084,18.538484365422853,22.086542021106613,0,0,0,0,0,54.43956254658245,21.545224533301646,2.4,1700.0,2400.0,0,0,0,0,4.954640544481812,4.7981686355496285,0,0,5,5,2.096740533149028,51.70853887992395,0.5900000000000001,0.4099999999999999,30.082150928647266,3.457718497545663,150.41075464323632,375964.84107129363,26585428179.724094,1006.0,0.5063945283928275,0.48851572997636494,P4,-333,AN,230.0,0.0,50.0,227.84.96.113,11824,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,30.696611445665575,P1,0,0,0,0,0,0,0,3.8291919540076553,4.329555629288184,5,5
H020,EH020,True,1,19.99979915430815,99999,0.9999398167354756,23.000019607505497,16.999802930102902,20.889947460239178,20.11332846168081,21.90910031206519,0,0,0,0,0,65.07772607239013,11.20670754358677,2.4,900.0,1500.0,0,0,0,0,4.823749485503695,4.175518901514597,0,0,5,5,2.6303983062510987,26.896098104608246,0.6800000000000002,0.31999999999999984,17.273440684516938,1.9854529522433264,86.3672034225847,225388.18600077945,10792866247.417192,1006.0,0.5312983358668398,0.44244790431195685,P3,-364,BN,230.0,120.0,50.0,224.81.22.130,10259,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,74.36952409242205,P1,0,0,0,0,0,0,0,4.265322801550504,4.960044847412927,5,5
H021,EH021,True,1,20.000262240876026,99999,0.997175136161861,22.99954415146411,16.999133880728664,21.6548618269245,19.978124047202936,21.272051125645294,0,0,0,0,0,73.3206242386452,45.66200579893939,2.4,3700.0,2400.0,0,0,0,0,3.6845943995325596,4.884723096437561,0,0,5,5,2.6801722301877757,109.58881391745453,0.7100000000000002,0.2899999999999998,58.789795673780105,6.757447778595415,293.9489783689005,958865.1415009336,39853068069.22148,1006.0,0.43467324417560865,0.5748549126981191,P3,-817,CN,230.0,-120.0,50.0,230.189.203.170,12583,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,20.25112857432504,P1,0,0,0,0,0,0,0,3.8201534881137826,2.459030936756924,5,5
H022,EH022,True,1,20.001142428858888,99999,0.9996192109572651,22.999454096909364,17.000742520250153,21.140741642915064,21.65381588094853,20.680639986077345,0,0,0,0,1,58.80980191244684,33.91861720122005,2.4,2700.0,2400.0,0,0,0,0,3.923560983986026,2.754262432106121,0,0,5,5,3.566056919402988,81.40468128292812,0.9300000000000004,0.06999999999999962,46.42474323502709,5.336177383336447,232.12371617513543,932964.8551470874,7145702923.015391,1006.0,0.5413876352357356,0.5096567852410605,P4,17,AN,230.0,0.0,50.0,234.111.58.50,11988,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,33.94344145753215,P1,0,0,0,0,0,0,0,4.872578658968135,4.86637933128689,5,5
H023,EH023,True,1,19.99958941949355,99999,1.0011511054781155,22.999351577537393,16.999891988389777,21.297240726889587,18.184669033040713,22.45447166457127,0,0,0,0,1,72.01103372166361,10.27768307438583,2.4,800.0,1500.0,0,0,0,0,2.018830529266449,2.3638963656220953,0,0,5,5,2.3297433082130645,24.666439378525993,0.7000000000000002,0.2999999999999998,16.41772698401938,1.887095055634412,82.08863492009691,212783.26011873747,9279514494.201471,1006.0,0.4751930569492185,0.5194356360032105,P3,522,BN,230.0,120.0,50.0,234.114.66.16,11048,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,63.38191517702044,P5,0,0,0,0,0,0,0,4.270646629722791,4.589509407182221,5,5
H024,EH024,True,1,19.99937456957591,99999,1.0001119103516791,22.998922771080778,17.000225652050187,19.763467610609013,18.46538571752218,22.100918699650148,0,0,0,0,0,46.31810983809311,61.24890919428392,2.4,4900.0,2400.0,0,0,0,0,4.080638466004723,3.1818524926898393,0,0,5,5,3.066228940116504,146.9973820662814,0.5800000000000001,0.41999999999999993,76.47090970931029,8.789759736702333,382.3545485465514,1050680.202642563,77420581186.66908,1006.0,0.3889565343547306,0.5837049222807571,P3,-759,CN,230.0,-120.0,50.0,226.184.53.114,11441,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,26.509674957867,P3,0,0,0,0,0,0,0,0.7077171319750125,2.0848025131883765,5,5
H025,EH025,True,1,20.003734406429626,99999,0.9995843571752533,23.00091835585843,17.000030557299716,19.620658385101592,19.734635629189352,22.07870156746599,0,0,0,0,0,35.602616578119246,18.55198649055895,2.4,1500.0,2400.0,0,0,0,0,4.955563084031934,2.5945083445607553,0,0,5,5,3.5988050669259595,44.52476757734148,0.7100000000000002,0.2899999999999998,26.786232545322964,3.078877304060111,133.93116272661482,389576.6916092504,16191876977.17599,1006.0,0.5080939243823308,0.4877886937581021,P3,789,AN,230.0,0.0,50.0,226.139.213.149,12449,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,32.12396609992811,P4,0,0,0,0,0,0,0,0.28264575322522356,2.930523768805523,5,5
H026,EH026,True,1,20.00022257049161,99999,0.9994055245028517,23.001152989845092,17.000149357581755,21.400218565840227,20.993287180207894,21.852102961750038,0,0,0,0,0,52.54163225469403,16.263378394426272,2.4,1300.0,2000.0,0,0,0,0,4.232299577787514,3.0637209100916287,0,0,5,5,3.1065317375602053,39.03210814662305,0.6400000000000001,0.3599999999999999,23.822007306521186,2.7381617593702514,119.11003653260593,307847.00850921415,17620654901.711506,1006.0,0.5550156468526418,0.4413544380584318,P4,-632,BN,230.0,120.0,50.0,237.231.179.147,10410,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,36.82584945388268,P5,0,0,0,0,0,0,0,0.7374883427600454,3.1427919822212975,5,5
H027,EH027,True,1,20.001098106366005,99999,1.0005301337830346,23.0015779172706,17.00147136846628,21.58721542065792,18.00265674876436,22.232482511080146,0,0,0,0,1,40.96876226559923,55.846421882619104,2.4,4500.0,2400.0,0,0,0,0,4.071605506398679,2.6263364221469057,0,0,5,5,3.2725897690089814,134.03141251828583,0.7200000000000002,0.2799999999999998,70.67659392886235,8.123746428604868,353.38296964431174,1189246.9499572008,47061109563.420494,1006.0,0.49939982933024185,0.510925812175113,P3,870,CN,230.0,-120.0,50.0,237.163.114.30,10203,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,27.712506787127907,P5,0,0,0,0,0,0,0,4.764864476801349,2.033582780139385,5,5
H028,EH028,True,1,20.001899813009423,99999,0.9996330889612826,23.00001496686445,17.001192777617156,18.581817854298073,18.996965783603592,21.893115640121856,0,0,0,0,0,43.56002314941383,43.23148908438328,2.4,3500.0,2400.0,0,0,0,0,3.327041492588264,2.8394825634919894,0,0,5,5,1.7860040175989833,103.75557380251986,0.7300000000000002,0.2699999999999998,54.66920103317124,6.283816210709339,273.3460051658562,933398.8295703569,35129562178.05715,1006.0,0.4715955688497605,0.466989069738386,P4,-657,AN,230.0,0.0,50.0,226.223.214.175,11399,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,21.9741258655502,P3,0,0,0,0,0,0,0,0.22621279879844136,3.092479810351148,5,5
H029,EH029,True,1,19.99956985119175,99999,1.0002724993112233,22.998267110215803,16.9995927764918,18.660309146136296,20.521237303641477,22.525478613405387,0,0,0,0,1,69.35046232337092,53.12953163927444,2.4,4300.0,2400.0,0,0,0,0,2.8380680203084574,3.719065957784731,0,0,5,5,3.181140332854906,127.51087593425865,0.7300000000000002,0.2699999999999998,68.92622414875976,7.922554499857444,344.63112074379876,1147104.6613944652,43172632373.82125,1006.0,0.4790125130538271,0.42482504986015074,P5,-471,BN,230.0,120.0,50.0,225.206.197.42,11256,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,79.19059061321127,P1,0,0,0,0,0,0,0,4.517767172105759,2.9631824822994917,5,5
H030,EH030,True,1,20.000130010028066,99999,1.0005852892355915,22.999495757671554,17.000642358673314,19.23963909068651,19.548153929791702,22.008141301949234,0,0,0,0,0,50.37593876567489,33.2912264192417,2.4,2700.0,2400.0,0,0,0,0,2.5868914629388575,4.398546496861077,0,0,5,5,3.403176429160632,79.89894340618008,0.9000000000000004,0.09999999999999964,44.360869796552564,5.098950551327881,221.8043489827628,886168.8928485253,10019327503.134947,1006.0,0.5027940325490418,0.5314232650668674,P3,308,CN,230.0,-120.0,50.0,224.179.137.201,11295,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,55.25012404470721,P4,0,0,0,0,0,0,0,0.006625851782101622,2.2481752761188694,5,5
H031,EH031,True,1,20.00082168882902,99999,0.9994539180965882,22.999633961825406,16.99997830547649,19.89821056429871,21.7307092364357,22.020944570147982,0,0,0,0,0,33.52158277108387,28.453291298903963,2.4,2300.0,2400.0,0,0,0,0,4.176088390416452,4.069640465639605,0,0,5,5,3.4754897609001874,68.2878991173695,0.9100000000000004,0.08999999999999964,38.98410171253138,4.480931231325446,194.9205085626569,765804.8270053213,7706972294.3862915,1006.0,0.48942226488353685,0.47542415411569483,P3,595,AN,230.0,0.0,50.0,233.164.78.22,10115,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,68.33183486706491,P1,0,0,0,0,0,0,0,3.4175816817577385,3.323398026148947,5,5
H032,EH032,True,1,19.9997924010207,99999,1.0004541126171018,23.001197018500434,16.998393037305465,19.97763938034814,18.1535708579381,21.91858194235093,0,0,0,0,0,50.29352110892198,26.29928389404693,2.4,2100.0,2400.0,0,0,0,0,3.0378945507858006,4.4800991246308755,0,0,5,5,1.976753981973462,63.11828134571263,0.9200000000000004,0.07999999999999963,36.58678610760201,4.205377713517473,182.93393053801003,715609.2531807021,6332025984.601861,1006.0,0.515470362088015,0.5261749304015062,P1,26,BN,230.0,120.0,50.0,224.125.153.173,10815,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,79.58024025244279,P5,0,0,0,0,0,0,0,4.262413199852553,2.7673988676326764,5,5
H033,EH033,True,1,20.00022960650102,99999,1.0014059333076404,22.99797213339731,17.000059077765812,20.91393096055414,21.353849098771448,21.667119932145784,0,0,0,0,1,61.4148336418202,14.164449714078826,2.4,1100.0,2000.0,0,0,0,0,2.9984308902327066,2.183521064561393,0,0,5,5,3.659088372892951,33.99467931378918,0.9000000000000004,0.09999999999999964,21.42411185237338,2.4625415922268252,107.1205592618669,377039.12024337344,4262932785.9491477,1006.0,0.43929460182974606,0.49131296391899865,P4,-40,CN,230.0,-120.0,50.0,235.158.247.245,12098,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,48.586368432627744,P5,0,0,0,0,0,0,0,0.7696599413106597,2.262998171734355,5,5
H034,EH034,True,1,19.999798184578157,99999,1.0008197408292856,22.9989078139192,16.9989176703896,18.255707554338873,21.12752446932339,22.2661030028546,0,0,0,0,1,45.81895481233604,60.276663658891465,2.4,4800.0,2400.0,0,0,0,0,3.5783035679317243,3.631255743149853,0,0,5,5,2.793357747475725,144.66399278133952,0.7900000000000003,0.20999999999999974,77.42505363374856,8.899431452155008,387.1252681687428,1408382.0919249263,38095815859.0379,1006.0,0.5002639058774287,0.3491853410990049,P5,-626,AN,230.0,0.0,50.0,226.2.184.197,11167,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,29.450580128304093,P4,0,0,0,0,0,0,0,0.24957786911961877,3.2806103296632725,5,5
