house,name,volume,heating_power,air_part,material_part,cooling_power,ventilation_power,standby_power,heating_power_thermal,cooling_power_thermal,min_heatingtime,min_coolingtime,cooling_counter,heating_counter,charging_counter,discharging_counter,cop,heating_setpoint,cooling_setpoint,tolerance,temp_max,temp_min,temp_in,temp_mat,temp_out,temp_refill,proposed_status,actual_status,proposed_demand,actual_demand,mode,priority,R_value,surface_area,Ua,Um,U,Ca,Cm,Cp,location,mass_change,schedule,schedule_skew,with_dr,phase,voltage,angle,frequency,mcast_ip_local,mcast_port_local,mcast_ip_global,mcast_port_global,s0,e0,s1,e1,s2,e2,s3,e3,s4,e4,s5,e5,s6,e6,s7,e7,s8,e8,s9,e9,connected,load_class,load_type,profile,skew,irradiance,irradiance_roof,irradiance_wall1,irradiance_wall2,irradiance_wall3,irradiance_wall4,counter,min_cycletime,min_chargingtime,min_dischargingtime
H011,WH011,0.3,5000.0,1.0,0.0,0,0,0,5000.0,0,4.46956741904567,4.71998869731962,0,279,5,5,1.0,57.0,99999,4.0,61.0,50.0,55.17783389482404,55.17783389482404,19.99596753034896,13.441196507542777,0,0,0,0,1,61.30654332905712,1.175177247790191,2.083758831471218,1.7731442940965105,208.3758831471218,0.029552404901608507,1255804.12450986,21564.403395129342,4186,inside,6.824393159567438e-06,P4,638,True,BN,230.0,120.0,50.0,237.253.111.56,10026,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P2,0,0,0,0,0,0,0,9.020877436664868,3.0143196984948144,5,5
H012,WH012,0.25,3000.0,1.0,0.0,0,0,0,3000.0,0,4.287753622247497,2.398851124005623,0,272,5,5,1.0,57.0,99999,4.0,61.0,50.0,54.58728901745662,54.58728901745662,19.998994903687375,13.594391378738228,0,0,0,0,1,31.18013110322056,1.5588781490416141,1.8452701486440286,1.1837167323042446,184.52701486440284,0.01972861220507074,1046503.4370915501,19096.33171428732,4186,outside,6.660592034456171e-06,P3,21,True,CN,230.0,-120.0,50.0,235.21.195.214,11097,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P5,0,0,0,0,0,0,0,5.291497122383393,4.163449343103386,5,5
H013,WH013,0.18,2000.0,1.0,0.0,0,0,0,2000.0,0,3.872837932549115,4.489964443047548,0,67,5,5,1.0,57.0,99999,4.0,61.0,50.0,53.12405934624711,53.12405934624711,20.0,13.052573566951022,0,0,0,0,1,45.51514776158963,1.4243900107909648,1.4823415671664024,1.0406851746617185,148.23415671664023,0.017344752911028643,753482.474705916,15340.456410291667,4186,inside,6.830761817167376e-06,P2,-780,True,AN,230.0,0.0,50.0,227.145.14.97,10193,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P4,0,0,0,0,0,0,0,4.839315683322471,3.020462445384472,5,5
H014,WH014,0.177,3000.0,1.0,0.0,0,0,0,3000.0,0,4.489771206249352,2.6330958895747045,0,122,5,5,1.0,57.0,99999,4.0,61.0,50.0,57.04507223791033,57.04507223791033,19.999062531430102,13.773615639502484,0,0,0,0,1,34.885419088159765,1.2772534839527494,1.4658250117957676,1.1476382959312361,146.58250117957675,0.019127304932187266,740924.4334608173,15169.52988207204,4186,outside,6.708900781172605e-06,P3,874,True,BN,230.0,120.0,50.0,237.125.230.148,10044,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P2,0,0,0,0,0,0,0,3.782729674038089,3.418758155359319,5,5
H015,WH015,0.25,3000.0,1.0,0.0,0,0,0,3000.0,0,4.467687995905256,4.995048886702674,0,2,5,5,1.0,57.0,99999,4.0,61.0,50.0,55.347393035044334,55.347393035044334,19.989741427208063,13.641638898742476,0,0,0,0,1,79.00013739276746,0.9256161341487014,1.8452701486440286,1.9935587556942733,184.52701486440284,0.033225979261571226,1046503.4370915501,19096.33171428732,4186,inside,5.603286078865743e-06,P3,97,True,CN,230.0,-120.0,50.0,230.95.177.27,11872,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P3,0,0,0,0,0,0,0,2.3761127218796787,4.221121400761676,5,5
H016,WH016,0.177,3000.0,1.0,0.0,0,0,0,3000.0,0,3.8241190664411846,3.752182740378787,0,162,5,5,1.0,57.0,99999,4.0,61.0,50.0,55.734683863620894,55.734683863620894,19.972456709281097,12.81660945256926,0,0,0,0,1,38.170298436458424,1.10368580888215,1.4658250117957676,1.328118020544637,146.58250117957675,0.02213530034241062,740924.4334608173,15169.52988207204,4186,inside,4.339965942586319e-06,P5,-621,True,AN,230.0,0.0,50.0,233.150.17.250,11100,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P1,0,0,0,0,0,0,0,0.538070326924146,4.126911252457962,5,5
H017,WH017,0.4,3600.0,1.0,0.0,0,0,0,3600.0,0,4.85209225195348,4.108680365332511,0,9,5,5,0.98,57.0,99999,4.0,61.0,50.0,53.99062772412434,53.99062772412434,20.0,12.704013589219638,0,0,0,0,1,37.893114176383236,1.3500275353336328,2.5242940554414575,1.8698093108283362,252.42940554414574,0.03116348851380561,1674405.4993464802,26123.414320952554,4186,inside,4.53417036242134e-06,P4,809,True,BN,230.0,120.0,50.0,229.153.32.18,11705,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P1,0,0,0,0,0,0,0,7.185364670707707,4.248279067133236,5,5
H018,WH018,0.135,3000.0,1.0,0.0,0,0,0,3000.0,0,4.258782193580734,2.3470215809652673,0,213,5,5,0.98,57.0,99999,4.0,61.0,50.0,54.82709167289492,54.82709167289492,20.0,13.281621898607733,0,0,0,0,1,75.64182700326324,0.8805509190494242,1.2236460031989773,1.3896368474862675,122.36460031989773,0.023160614124771123,565111.856029437,12663.267757905576,4186,outside,6.085418422032276e-06,P2,275,True,CN,230.0,-120.0,50.0,236.0.45.144,12761,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P3,0,0,0,0,0,0,0,4.807437732453481,3.4690418792581124,5,5
H019,WH019,0.4,3600.0,1.0,0.0,0,0,0,3600.0,0,2.9262621108428633,4.904601829842268,0,147,5,5,1.0,57.0,99999,4.0,61.0,50.0,57.88289138080696,57.88289138080696,20.0,12.806622823415019,0,0,0,0,1,45.189983780503745,1.2090540027557088,2.5242940554414575,2.0878257296101066,252.42940554414574,0.034797095493501774,1674405.4993464802,26123.414320952554,4186,outside,5.737907020045666e-06,P4,129,True,AN,230.0,0.0,50.0,231.71.88.244,12852,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P5,0,0,0,0,0,0,0,4.97167695021084,3.3068686956513424,5,5
H020,WH020,0.4,4800.0,1.0,0.0,0,0,0,4800.0,0,2.67642424640479,4.38220045819797,0,90,5,5,0.98,57.0,99999,4.0,61.0,50.0,59.110718712790074,59.110718712790074,20.0,13.263368737002835,0,0,0,0,1,77.56211404778541,1.2978332505395944,2.5242940554414575,1.9450064593367005,252.42940554414574,0.03241677432227834,1674405.4993464802,26123.414320952554,4186,outside,6.252778016831626e-06,P2,-349,True,BN,230.0,120.0,50.0,238.244.233.5,12408,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P5,0,0,0,0,0,0,0,7.129447652795143,4.997589666824702,5,5
H021,WH021,0.3,5000.0,1.0,0.0,0,0,0,5000.0,0,3.216423147797639,4.0450177717062195,0,13,5,5,1.0,57.0,99999,4.0,61.0,50.0,53.504047512842924,53.504047512842924,20.0,13.432933868018965,0,0,0,0,1,79.41996543209567,1.1399979324193141,2.083758831471218,1.8278619392309299,208.3758831471218,0.03046436565384883,1255804.12450986,21564.403395129342,4186,outside,5.587490106692517e-06,P2,470,True,CN,230.0,-120.0,50.0,231.66.75.60,10854,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P3,0,0,0,0,0,0,0,0.7048945451507771,4.805643155925681,5,5
H022,WH022,0.18,2000.0,1.0,0.0,0,0,0,2000.0,0,3.500763879784145,2.2152114569855463,0,45,5,5,1.0,57.0,99999,4.0,61.0,50.0,53.18898750920551,53.18898750920551,19.99480076165212,13.546552136035176,0,0,0,0,1,49.13236785420645,1.180830537678954,1.4823415671664024,1.2553381030271284,148.23415671664023,0.02092230171711881,753482.474705916,15340.456410291667,4186,inside,6.331826684351818e-06,P3,444,True,AN,230.0,0.0,50.0,231.123.104.11,12400,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P2,0,0,0,0,0,0,0,3.817658767869668,3.928198967853996,5,5
H023,WH023,0.18,3000.0,1.0,0.0,0,0,0,3000.0,0,2.3390789461605106,3.3091229204500796,0,0,5,5,1.0,57.0,99999,4.0,61.0,50.0,57.08952154867422,57.08952154867422,20.0,13.20085790051129,0,0,0,0,1,36.58510106667063,1.310479765165844,1.4823415671664024,1.1311441859453732,148.23415671664023,0.018852403099089553,753482.474705916,15340.456410291667,4186,inside,5.425643794334581e-06,P4,816,True,BN,230.0,120.0,50.0,233.216.172.252,11067,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P4,0,0,0,0,0,0,0,6.479583984151612,4.981739521464114,5,5
H024,WH024,0.177,3000.0,1.0,0.0,0,0,0,3000.0,0,3.734043071535083,4.151370508510906,0,220,5,5,1.0,57.0,99999,4.0,61.0,50.0,56.21034881761316,56.21034881761316,20.0,12.696829791904209,0,0,0,0,1,22.010371449278235,1.0487278784313048,1.4658250117957676,1.397717217156809,146.58250117957675,0.023295286952613483,740924.4334608173,15169.52988207204,4186,outside,4.652793599482861e-06,P4,-738,True,CN,230.0,-120.0,50.0,228.141.75.149,10364,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P1,0,0,0,0,0,0,0,9.54049866721098,3.024550433026682,5,5
H025,WH025,0.4,4800.0,1.0,0.0,0,0,0,4800.0,0,4.588198543229608,2.655385174590507,0,183,5,5,0.98,57.0,99999,4.0,61.0,50.0,57.25502363102869,57.25502363102869,20.0,13.270606494947643,0,0,0,0,1,43.01194215972063,1.1411135086550144,2.5242940554414575,2.2121323043636067,252.42940554414574,0.036868871739393454,1674405.4993464802,26123.414320952554,4186,inside,4.806948163492323e-06,P4,446,True,AN,230.0,0.0,50.0,232.101.148.203,12835,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P3,0,0,0,0,0,0,0,5.071461011437287,3.5918679728430845,5,5
H026,WH026,0.177,3000.0,1.0,0.0,0,0,0,3000.0,0,4.519853129680372,3.9985842891739507,0,82,5,5,1.0,57.0,99999,4.0,61.0,50.0,57.75452798743802,57.75452798743802,19.989434067942188,13.309049757935021,0,0,0,0,1,21.586950974440725,1.4225577187601675,1.4658250117957676,1.0304151406055495,146.58250117957675,0.017173585676759157,740924.4334608173,15169.52988207204,4186,outside,5.652305944484928e-06,P1,-176,True,BN,230.0,120.0,50.0,230.170.135.191,11903,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P5,0,0,0,0,0,0,0,2.0207520039955087,4.507229013438005,5,5
H027,WH027,0.3,3000.0,1.0,0.0,0,0,0,3000.0,0,4.872722245501751,2.0946351273960886,0,166,5,5,0.98,57.0,99999,4.0,61.0,50.0,56.319375667311405,56.319375667311405,20.0,12.913433424401767,0,0,0,0,1,61.39922075470979,1.0634582971052857,2.083758831471218,1.9594175315977806,208.3758831471218,0.03265695885996301,1255804.12450986,21564.403395129342,4186,inside,5.33778535502194e-06,P1,601,True,CN,230.0,-120.0,50.0,226.99.184.160,11988,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P5,0,0,0,0,0,0,0,3.183021805945896,3.7071437301285197,5,5
H028,WH028,0.177,3000.0,1.0,0.0,0,0,0,3000.0,0,4.70235509794767,3.9941464718501076,0,5,5,5,0.98,57.0,99999,4.0,61.0,50.0,51.437990384897894,51.437990384897894,20.0,12.395779485771486,0,0,0,0,1,35.11083667518558,1.0424579979980115,1.4658250117957676,1.4061238098904811,146.58250117957675,0.02343539683150802,740924.4334608173,15169.52988207204,4186,inside,4.668471040573592e-06,P4,-563,True,AN,230.0,0.0,50.0,228.193.209.154,10061,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P5,0,0,0,0,0,0,0,7.797730871807572,3.3266909189373317,5,5
H029,WH029,0.135,3000.0,1.0,0.0,0,0,0,3000.0,0,2.0473144022294236,4.304587734388185,0,95,5,5,0.98,57.0,99999,4.0,61.0,50.0,53.76284665808685,53.76284665808685,19.99875660010643,12.267407885344415,0,0,0,0,1,33.20082515048758,0.8805509190494242,1.2236460031989773,1.3896368474862675,122.36460031989773,0.023160614124771123,565111.856029437,12663.267757905576,4186,inside,5.6309159049456156e-06,P4,-542,True,BN,230.0,120.0,50.0,229.226.212.35,10660,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P1,0,0,0,0,0,0,0,4.002723721711598,4.025078065242306,5,5
H030,WH030,0.18,3000.0,1.0,0.0,0,0,0,3000.0,0,3.279449151875054,3.1563729285423925,0,195,5,5,1.0,57.0,99999,4.0,61.0,50.0,59.35370046145012,59.35370046145012,19.98534294728239,13.336902814332081,1,0,0,0,1,57.63252303498559,1.324618310010744,1.4823415671664024,1.119070720949327,148.23415671664023,0.018651178682488785,753482.474705916,15340.456410291667,4186,inside,5.823276322080647e-06,P3,-746,True,CN,230.0,-120.0,50.0,234.133.67.227,12729,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P4,0,0,0,0,0,0,0,3.4690826716740695,3.2712388262008645,5,5
H031,WH031,0.3,5000.0,1.0,0.0,0,0,0,5000.0,0,2.835218327780985,3.439628303928293,0,134,5,5,1.0,57.0,99999,4.0,61.0,50.0,57.90744417867683,57.90744417867683,20.0,13.491630948459758,0,0,0,0,1,29.578949019231484,0.8805509190494242,2.083758831471218,2.3664262751785956,208.3758831471218,0.039440437919643266,1255804.12450986,21564.403395129342,4186,outside,6.864976901011761e-06,P3,181,True,AN,230.0,0.0,50.0,236.82.245.134,11409,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P1,0,0,0,0,0,0,0,7.484461766625028,4.3315839535670015,5,5
H032,WH032,0.25,3000.0,1.0,0.0,0,0,0,3000.0,0,3.612740234441576,2.7317219294354853,0,65,5,5,0.98,57.0,99999,4.0,61.0,50.0,56.35728417016101,56.35728417016101,19.998349804615074,12.237672389340181,0,0,0,0,1,30.204237486369443,1.4920583430314642,1.8452701486440286,1.2367278781437812,184.52701486440284,0.02061213130239635,1046503.4370915501,19096.33171428732,4186,outside,5.6168466919014135e-06,P3,83,True,BN,230.0,120.0,50.0,235.215.222.186,12975,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P4,0,0,0,0,0,0,0,9.883971685477984,4.652481820900954,5,5
H033,WH033,0.3,5000.0,1.0,0.0,0,0,0,5000.0,0,4.858380865001649,2.36413592267518,0,294,5,5,1.0,57.0,99999,4.0,61.0,50.0,59.4283314991853,59.4283314991853,20.0,12.358054871032381,0,0,0,0,1,57.79852793408764,0.9729549785948788,2.083758831471218,2.1416806299511815,208.3758831471218,0.03569467716585302,1255804.12450986,21564.403395129342,4186,inside,4.900758265222978e-06,P4,418,True,CN,230.0,-120.0,50.0,233.224.232.164,11127,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P2,0,0,0,0,0,0,0,3.188112433370447,4.4137086290748435,5,5
H034,WH034,0.135,3000.0,1.0,0.0,0,0,0,3000.0,0,4.177836603501843,4.248053029566262,0,287,5,5,1.0,57.0,99999,4.0,61.0,50.0,56.855270119507296,56.855270119507296,20.0,13.250604076167603,0,0,0,0,1,38.812556157560735,1.2141713273347474,1.2236460031989773,1.0078034093302368,122.36460031989773,0.016796723488837283,565111.856029437,12663.267757905576,4186,outside,6.294612245504485e-06,P3,-252,True,AN,230.0,0.0,50.0,236.29.168.153,10311,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P3,0,0,0,0,0,0,0,9.218171909021363,3.0264016878957936,5,5
H035,WH035,0.4,3600.0,1.0,0.0,0,0,0,3600.0,0,2.9007190707489072,3.64647894279434,0,91,5,5,1.0,57.0,99999,4.0,61.0,50.0,57.94757668863816,57.94757668863816,20.0,12.618186319495067,0,0,0,0,1,44.36597534179376,1.0167451175906375,2.5242940554414575,2.4827206069336545,252.42940554414574,0.04137867678222757,1674405.4993464802,26123.414320952554,4186,outside,6.1081493350290074e-06,P4,49,True,BN,230.0,120.0,50.0,224.196.226.16,10912,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P4,0,0,0,0,0,0,0,8.940746748714371,4.717972757383724,5,5
H036,WH036,0.177,3000.0,1.0,0.0,0,0,0,3000.0,0,2.7053231576550094,4.173275591995608,0,183,5,5,0.98,57.0,99999,4.0,61.0,50.0,51.28363417247954,51.28363417247954,20.0,12.82255545102656,0,0,0,0,1,40.497460502331904,1.1818986199536303,1.4658250117957676,1.2402290577623964,146.58250117957675,0.020670484296039942,740924.4334608173,15169.52988207204,4186,inside,6.1925909481205205e-06,P3,-51,True,CN,230.0,-120.0,50.0,226.225.213.45,10785,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P1,0,0,0,0,0,0,0,3.4117267145902055,3.261693036331653,5,5
H037,WH037,0.135,2000.0,1.0,0.0,0,0,0,2000.0,0,3.146022603696857,4.203679954088033,0,176,5,5,1.0,57.0,99999,4.0,61.0,50.0,51.31061243262789,51.31061243262789,20.0,12.494320443304426,0,0,0,0,1,44.52774790750286,1.459292134588649,1.2236460031989773,0.8385202484106471,122.36460031989773,0.013975337473510784,565111.856029437,12663.267757905576,4186,inside,4.562457298939808e-06,P1,-853,True,AN,230.0,0.0,50.0,227.47.144.32,10290,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P3,0,0,0,0,0,0,0,1.1062154023174453,4.8203772443040105,5,5
H038,WH038,0.25,3000.0,1.0,0.0,0,0,0,3000.0,0,3.4397508450480423,2.583826743107813,0,11,5,5,1.0,57.0,99999,4.0,61.0,50.0,55.75733897884964,55.75733897884964,19.981937373394675,12.070072240986082,0,0,0,0,1,58.700256738359066,1.0285263412205086,1.8452701486440286,1.7940912883712097,184.52701486440284,0.029901521472853493,1046503.4370915501,19096.33171428732,4186,inside,4.122736551383256e-06,P4,761,True,BN,230.0,120.0,50.0,224.169.194.200,11611,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P4,0,0,0,0,0,0,0,0.92090439849568,4.824658805192799,5,5
