house,name,type,volume,cooling_power,air_part,material_part,min_coolingtime,min_heatingtime,cooling_counter,heating_counter,charging_counter,discharging_counter,defrost_cycle,heating_power,ventilation_power,standby_power,cop,cooling_power_thermal,cooling_setpoint,heating_setpoint,tolerance,temp_max,temp_min,temp_in,temp_mat,temp_out,proposed_status,actual_status,proposed_demand,actual_demand,mode,priority,R_value,surface_area,Ua,U,Um,Ca,Cm,Cp,with_dr,phase,voltage,angle,frequency,mass_change,schedule,schedule_skew,mcast_ip_local,mcast_port_local,mcast_ip_global,mcast_port_global,s0,e0,s1,e1,s2,e2,s3,e3,s4,e4,s5,e5,s6,e6,s7,e7,s8,e8,s9,e9,connected,load_class,load_type,profile,skew,irradiance,irradiance_roof,irradiance_wall1,irradiance_wall2,irradiance_wall3,irradiance_wall4,counter,min_cycletime,min_chargingtime,min_dischargingtime
H011,FZ011,FREEZER,0.138,72.0,0.8600000000000001,0.1399999999999999,57.69897022881524,58.75584899005989,42,299,5,5,79200,530.7772502308002,2.8085237536305665,0.4711266421881981,4.007164750461124,288.5158620332009,-9.999264696676905,-99999,0.5000823134226797,-5.000211256272068,-19.999706469603424,-10.470291129648789,-11.05871664289625,19.999740191064266,0,0,0,0,0,31.498653751721758,1.9665985412220828,1.602275927727259,0.81474479622647,0.2036861990566175,0.02403293726904543,102038.31823858418,1384416000.0000002,1006.0,True,BN,230.0,120.0,50.0,0.06501646444424619,P2,540,234.37.92.213,11278,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P5,0,0,0,0,0,0,0,45.52330480614284,54.99904627579582,5,5
H012,FZ012,FREEZER,0.138,72.0,0.9100000000000001,0.08999999999999986,56.031074198442184,35.073522513355805,47,728,5,5,43200,584.1149716826242,4.655815828925748,0.513943898719885,4.001523679790601,288.1097049449233,-10.000475011579393,-99999,0.5002069421423576,-5.000385643338291,-19.999794302507237,-11.039211424145542,-9.960495836731502,19.99941950735247,1,0,0,0,1,71.38416004649324,2.4442661075740424,1.602275927727259,0.6555243403172387,0.16388108507930968,0.02403293726904543,102038.31823858418,1384416000.0000002,1006.0,True,CN,230.0,-120.0,50.0,0.0647416720163786,P4,93,235.14.86.196,11902,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P5,0,0,0,0,0,0,0,1.870622988813151,36.9189930512686,5,5
H013,FZ013,FREEZER,0.138,72.0,0.8700000000000001,0.1299999999999999,34.119830034477,34.047714295667184,39,224,5,5,43200,384.6994194543747,3.597055636964898,0.5348331849263598,4.017438159360645,289.25554747396643,-10.000190759136288,-99999,0.4995148715553776,-5.001124885709749,-20.001953583603363,-8.048191158660227,-8.190925267110405,20.000319304589375,0,0,0,0,1,49.39887311578825,2.0036604489823864,1.602275927727259,0.7996743802279566,0.19991859505698914,0.02403293726904543,102038.31823858418,1384416000.0000002,1006.0,True,AN,230.0,0.0,50.0,0.06519772152324967,P4,-154,228.170.61.183,10870,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P3,0,0,0,0,0,0,0,6.91636117776083,43.170814350097736,5,5
H014,FZ014,FREEZER,0.318,80.0,0.8,0.19999999999999996,54.12846283594958,59.79481379861846,21,727,5,5,64800,388.2396447321986,3.518420956157201,0.5117141824248301,4.0182908690463925,321.4632695237114,-10.000388344304035,-99999,0.5015662527307628,-4.9985929828778275,-20.002323157381014,-9.104556639704535,-11.304616992132958,19.998322808702717,0,0,0,0,1,65.77377964942448,2.1087247745255415,2.795348740357558,1.3256109920681827,0.33140274801704567,0.04192813469862844,235131.77681065048,3190176000.0,1006.0,True,BN,230.0,120.0,50.0,0.06522755508208504,P4,514,238.71.36.109,12498,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P3,0,0,0,0,0,0,0,44.49236480188603,49.443660347470455,5,5
H015,FZ015,FREEZER,0.238,80.0,0.8400000000000001,0.15999999999999992,54.348602784616034,52.56523385158381,26,611,5,5,75600,400.0868071392489,4.713014576669671,0.49907326377627836,3.9777468230384847,318.2197458430788,-10.000360551374609,-99999,0.5014675004972486,-5.001138887090068,-19.99992270662295,-10.80119931790372,-10.178362898622035,19.99948376816202,0,0,0,0,0,25.834639021411157,2.1594870471927705,2.304283385281897,1.0670512649183772,0.2667628162295943,0.0345625226530958,175979.1285563988,2387616000.0000005,1006.0,True,CN,230.0,-120.0,50.0,0.06512353762429635,P2,357,226.196.221.152,10369,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P4,0,0,0,0,0,0,0,48.49229470352091,34.1935752801899,5,5
H016,FZ016,FREEZER,0.318,80.0,0.8800000000000001,0.11999999999999988,31.12621809210709,30.447084919192427,50,275,5,5,72000,539.3523023597686,3.974178781143738,0.5092297050024785,4.010590310240743,320.84722481925945,-10.000916674197821,-99999,0.5013304808574031,-4.999360524909684,-20.000329907032132,-8.987373307618064,-9.539857746990265,20.00254283186431,0,0,0,0,0,53.1290331350729,2.33196395402947,2.795348740357558,1.1987100982103054,0.29967752455257635,0.04192813469862844,235131.77681065048,3190176000.0,1006.0,True,AN,230.0,0.0,50.0,0.06492125262634028,P3,-263,225.208.215.114,10836,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P1,0,0,0,0,0,0,0,6.097730154431337,58.75729054119543,5,5
H017,FZ017,FREEZER,0.09,60.0,0.8900000000000001,0.10999999999999988,40.82609654792864,37.865472232485274,39,714,5,5,46800,491.72680070322707,3.4454509035386187,0.5066266693162649,3.992082634509285,239.5249580705571,-9.99992672189516,-99999,0.4997329615478969,-4.999260960331396,-20.00053510177106,-8.946418955192932,-9.567759072421888,20.000369956407837,0,0,0,0,0,67.17244576241387,2.0382776238325224,1.2049793101479054,0.5911752629076176,0.1477938157269044,0.018073785962920433,66546.72928603314,902880000.0,1006.0,True,BN,230.0,120.0,50.0,0.06508666452988851,P1,-212,231.149.179.38,10721,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P5,0,0,0,0,0,0,0,20.768197015963775,38.09404238754234,5,5
H018,FZ018,FREEZER,0.118,72.0,0.81,0.18999999999999995,50.498813031703875,58.623519257015126,34,725,5,5,25200,414.8155445545885,4.9790129184861875,0.5438910376065004,3.9869560114839135,287.06083282684176,-10.001838169915874,-99999,0.49950576303984273,-5.000464213978762,-19.999076059010974,-11.917822447627096,-11.449284015572932,20.00071955561457,0,0,0,0,1,43.82857507110837,1.9019433149923826,1.443463883258394,0.7589415898360646,0.18973539745901616,0.021650875705090653,87250.15617502124,1183776000.0,1006.0,True,CN,230.0,-120.0,50.0,0.06489011068549025,P4,230,230.49.199.35,10242,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P4,0,0,0,0,0,0,0,37.84505748216911,50.22536776187148,5,5
H019,FZ019,FREEZER,0.118,72.0,0.8200000000000001,0.17999999999999994,48.41312701960896,38.18978557467713,46,57,5,5,28800,379.0858294342201,4.995078540339207,0.4762594171083547,3.9865027851774326,287.02820053277514,-9.99955088122711,-99999,0.49850578576554616,-5.001798133675351,-20.000094199357232,-11.04257080787784,-9.314243071838707,19.998739391200466,0,1,0,0,1,33.28474254240802,2.266332212341524,1.443463883258394,0.6369162805867014,0.15922907014667534,0.021650875705090653,87250.15617502124,1183776000.0,1006.0,True,AN,230.0,0.0,50.0,0.06481336396406964,P4,350,227.84.96.113,11824,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P2,0,0,0,0,0,0,0,36.79206177786058,44.618999439824954,5,5
H020,FZ020,FREEZER,0.09,60.0,0.9200000000000002,0.07999999999999985,40.96096277863047,53.72449938872677,20,43,5,5,82800,400.5661817936194,4.9074120996113875,0.4924870184464075,3.997736952421788,239.86421714530726,-10.000125319615714,-99999,0.5017121481579929,-4.999272731831584,-19.99951165219964,-9.098466601976133,-11.564691794976465,20.00115676714868,0,0,0,0,1,22.908948873316167,2.069369223138058,1.2049793101479054,0.5822930469221129,0.14557326173052823,0.018073785962920433,66546.72928603314,902880000.0,1006.0,True,BN,230.0,120.0,50.0,0.064998472559342,P3,-454,224.81.22.130,10259,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P4,0,0,0,0,0,0,0,28.30468239721298,45.993194469801,5,5
H021,FZ021,FREEZER,0.118,72.0,0.8500000000000001,0.1499999999999999,56.90668796719411,56.137896635146475,2,313,5,5,25200,356.1164577495455,4.358046747117206,0.4922216506865711,4.015725550869955,289.1322396626367,-10.000428355638313,-99999,0.49880295235829164,-4.999852603168777,-19.9986906665247,-9.82733193212697,-8.643521381232109,19.999861435278188,0,0,0,0,0,43.52848164456874,2.1824929890256617,1.443463883258394,0.6613830562190282,0.16534576405475704,0.021650875705090653,87250.15617502124,1183776000.0,1006.0,True,CN,230.0,-120.0,50.0,0.0648561378009246,P3,767,230.189.203.170,12583,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P5,0,0,0,0,0,0,0,20.012136970809674,33.83953258695643,5,5
H022,FZ022,FREEZER,0.318,80.0,0.9200000000000002,0.07999999999999985,58.71974632564421,56.761465378185314,12,722,5,5,28800,478.9955941645696,4.417553432947856,0.49623695388046185,4.000537494229717,320.0429995383774,-9.999761750321321,-99999,0.5009330615984917,-5.001049895767127,-19.999781994659912,-11.979546930209697,-9.456221861770906,19.99988704846559,0,0,0,0,0,69.99187108404067,2.005764816030581,2.795348740357558,1.3936572812607053,0.34841432031517633,0.04192813469862844,235131.77681065048,3190176000.0,1006.0,True,AN,230.0,0.0,50.0,0.06495354910908743,P4,-877,234.111.58.50,11988,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P1,0,0,0,0,0,0,0,42.907101485602766,55.914384581641954,5,5
H023,FZ023,FREEZER,0.138,72.0,0.8800000000000001,0.11999999999999988,40.79215028691736,49.28847669496332,2,369,5,5,79200,511.8899713901909,2.2622975946029653,0.4682157043895703,4.0027908079855266,288.2009381749579,-10.0010936059674,-99999,0.4998830503798708,-4.999228453173182,-19.99708724179545,-10.491415991701594,-8.874687740920864,20.00032862029561,1,0,0,0,1,53.509759923565596,2.1888453177148537,1.602275927727259,0.7320188022240096,0.1830047005560024,0.02403293726904543,102038.31823858418,1384416000.0000002,1006.0,True,BN,230.0,120.0,50.0,0.06521232849502283,P3,-187,234.114.66.16,11048,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P3,0,0,0,0,0,0,0,47.89122515921512,39.4319686821039,5,5
H024,FZ024,FREEZER,0.138,72.0,0.81,0.18999999999999995,44.967571829038135,47.9588354363548,1,292,5,5,28800,363.29342200090457,2.497472474748186,0.4132757973118269,3.992151487756858,287.43490711849375,-9.999037093752204,-99999,0.49933384143140086,-4.999277166441514,-19.999377331154626,-11.809078228874084,-10.032456419170314,20.000309018263046,0,0,0,0,1,58.33259845768765,2.305232152179532,1.602275927727259,0.6950605500675289,0.17376513751688222,0.02403293726904543,102038.31823858418,1384416000.0000002,1006.0,True,CN,230.0,-120.0,50.0,0.06499873615571233,P3,-160,226.184.53.114,11441,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P2,0,0,0,0,0,0,0,31.020953223487783,32.36746892317749,5,5
H025,FZ025,FREEZER,0.138,72.0,0.8600000000000001,0.1399999999999999,53.43166495238502,47.329592372947644,34,268,5,5,46800,546.7954011377262,2.0516422435946655,0.489547961846738,3.9960248904068685,287.71379210929456,-10.000303437335125,-99999,0.5007490899638811,-5.000593595561291,-20.00121511243704,-8.596226416672884,-10.924995657238743,20.001223658101303,0,0,0,0,1,39.50619338000715,1.9756165567341253,1.602275927727259,0.811025764218117,0.20275644105452925,0.02403293726904543,102038.31823858418,1384416000.0000002,1006.0,True,AN,230.0,0.0,50.0,0.06518783459378194,P3,-415,226.139.213.149,12449,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P5,0,0,0,0,0,0,0,0.1144746707881894,44.203619189401266,5,5
H026,FZ026,FREEZER,0.188,72.0,0.8400000000000001,0.15999999999999992,40.087319424931515,41.860290651743775,7,226,5,5,61200,384.934016620168,3.099441096062632,0.4795954451473544,3.9969578256885256,287.78096344957385,-10.000486432640542,-99999,0.49960950083133987,-4.9979673971525695,-19.99906246934263,-11.021526623828404,-9.523137194372575,19.999703103519273,0,0,0,0,0,70.46652656186261,2.3996210849951636,1.9690488163214528,0.8205665588762825,0.20514163971907062,0.029534255532045188,139008.72339749147,1886016000.0,1006.0,True,BN,230.0,120.0,50.0,0.06489702953111169,P4,-205,237.231.179.147,10410,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P5,0,0,0,0,0,0,0,58.71139112230833,47.331972906361095,5,5
H027,FZ027,FREEZER,0.09,60.0,0.9400000000000002,0.05999999999999983,38.45973725892685,37.128947618300316,10,36,5,5,21600,326.47699277316656,3.9925909719101735,0.4964932529974617,4.007876116420676,240.47256698524058,-10.002918805652135,-99999,0.5001284402325338,-5.001140187635345,-20.000671326146403,-10.249816183577712,-9.034843134966149,19.998286393014034,0,1,0,0,1,42.68993189503162,2.407501954311739,1.2049793101479054,0.5005102105897925,0.12512755264744813,0.018073785962920433,66546.72928603314,902880000.0,1006.0,True,CN,230.0,-120.0,50.0,0.06473924717720018,P3,-634,237.163.114.30,10203,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P1,0,0,0,0,0,0,0,9.621506108946145,52.24871754526127,5,5
H028,FZ028,FREEZER,0.188,72.0,0.8200000000000001,0.17999999999999994,55.82952559493758,42.24931048459947,58,248,5,5,32400,303.13029059629537,4.9224940540766795,0.49175129244156035,3.9810400585087766,286.6348842126319,-10.00141062551415,-99999,0.49947549401013924,-5.000797995454389,-19.99959172327925,-10.198088889172261,-9.124297657628524,20.000047172830854,0,0,0,0,0,32.46194710979431,2.1293146372348692,1.9690488163214528,0.9247336123507149,0.23118340308767873,0.029534255532045188,139008.72339749147,1886016000.0,1006.0,True,AN,230.0,0.0,50.0,0.06516028958703196,P4,133,226.223.214.175,11399,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P3,0,0,0,0,0,0,0,33.617284698383855,59.68958174932298,5,5
H029,FZ029,FREEZER,0.09,60.0,0.9400000000000002,0.05999999999999983,38.27405917931965,48.07780197216901,9,518,5,5,68400,574.8252576775578,2.9176914892041146,0.46833490268532085,3.999262740091479,239.95576440548874,-9.99855848831461,-99999,0.49897166105668905,-4.9989282229962395,-19.998333823319786,-11.600452978612632,-11.505824850182488,20.000961627987685,0,1,0,0,1,31.691011526037833,2.0875978873506473,1.2049793101479054,0.5772085311300704,0.1443021327825176,0.018073785962920433,66546.72928603314,902880000.0,1006.0,True,BN,230.0,120.0,50.0,0.064861866660294,P5,417,225.206.197.42,11256,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P1,0,0,0,0,0,0,0,18.11663332536035,49.47961645038913,5,5
H030,FZ030,FREEZER,0.238,80.0,0.9400000000000002,0.05999999999999983,41.97580467288723,51.876859632127335,3,152,5,5,82800,456.6433872996472,3.749624965160957,0.5449502925487636,3.9967557210148805,319.74045768119043,-10.000987892349917,-99999,0.49909664182373303,-4.999999842696368,-19.999983648704898,-8.238341593932361,-10.490532077310103,19.999380443759332,1,0,0,0,1,22.97672735066826,2.4454087329123833,2.304283385281897,0.9422896689084725,0.23557241722711814,0.0345625226530958,175979.1285563988,2387616000.0000005,1006.0,True,CN,230.0,-120.0,50.0,0.06501268006376554,P3,707,224.179.137.201,11295,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P3,0,0,0,0,0,0,0,55.31725225214285,54.97881570628387,5,5
H031,FZ031,FREEZER,0.09,60.0,0.9300000000000002,0.06999999999999984,32.482243420925535,39.53602818497714,52,662,5,5,68400,560.2447953153327,4.18888656534329,0.5164795485744571,3.9974811946340836,239.84887167804501,-10.001350333692667,-99999,0.5001559332743144,-4.998318182967547,-20.000304781829975,-10.729946429088333,-10.298428664267535,19.997397485486122,0,0,0,0,1,29.057131319793868,2.0199342765670614,1.2049793101479054,0.5965438203245919,0.14913595508114796,0.018073785962920433,66546.72928603314,902880000.0,1006.0,True,AN,230.0,0.0,50.0,0.06497515408340915,P3,180,233.164.78.22,10115,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P3,0,0,0,0,0,0,0,45.25065800465192,32.8021807110008,5,5
H032,FZ032,FREEZER,0.118,72.0,0.8200000000000001,0.17999999999999994,49.56371246831624,34.201884824694446,48,134,5,5,28800,595.1248224676782,3.000395208524038,0.5224269452068706,3.9949616145407196,287.6372362469318,-9.999796845576835,-99999,0.49938558808013433,-4.999713022432197,-20.00135808419201,-9.029490545749903,-8.818900540544089,19.99843611107504,1,0,0,0,1,54.018739273636484,1.9295718497449446,1.443463883258394,0.7480747003275335,0.18701867508188338,0.021650875705090653,87250.15617502124,1183776000.0,1006.0,True,BN,230.0,120.0,50.0,0.06518414524394804,P1,191,224.125.153.173,10815,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P1,0,0,0,0,0,0,0,6.35351805588148,43.86442014121113,5,5
H033,FZ033,FREEZER,0.188,72.0,0.81,0.18999999999999995,45.224949936558176,46.592071608287355,49,599,5,5,64800,326.7248471244792,4.43532225771699,0.48174352915286694,4.00104347789507,288.07513040844503,-9.998492784035852,-99999,0.5002011403527348,-4.9989090908628775,-19.998769042005332,-11.716687989749612,-10.762645968721607,20.00085015913362,0,0,0,0,0,41.6864350732352,2.2931405193134986,1.9690488163214528,0.8586690609395932,0.2146672652348983,0.029534255532045188,139008.72339749147,1886016000.0,1006.0,True,CN,230.0,-120.0,50.0,0.06492854902703456,P4,857,235.158.247.245,12098,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P4,0,0,0,0,0,0,0,4.098364468443481,54.66754988728519,5,5
